Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 5.150001, 14.480000, 0.000080, 0.008000, 0.400000, 20.000000, 6.283184, 
20, 5.150276, 14.480000, 0.000355, 0.013743, 0.287159, -5.642067, 0.000015, 
20, 5.150961, 14.480000, 0.001040, 0.034232, 1.024453, 36.864711, 0.000051, 
20, 5.152178, 14.480000, 0.002257, 0.060858, 1.331280, 15.341354, 0.000115, 
20, 5.154080, 14.480000, 0.004158, 0.095092, 1.711695, 19.020728, 0.000215, 
20, 5.156819, 14.480001, 0.006897, 0.136935, 2.092164, 19.023456, 0.000359, 
20, 5.160546, 14.480003, 0.010625, 0.186389, 2.472714, 19.027517, 0.000555, 
20, 5.165416, 14.480006, 0.015494, 0.243457, 2.853378, 19.033176, 0.000811, 
20, 5.171578, 14.480012, 0.021657, 0.308141, 3.234192, 19.040705, 0.001135, 
20, 5.179187, 14.480022, 0.029266, 0.380445, 3.615199, 19.050375, 0.001534, 
20, 5.188395, 14.480039, 0.038473, 0.460374, 3.996448, 19.062466, 0.002016, 
20, 5.199353, 14.480064, 0.049432, 0.547933, 4.377994, 19.077260, 0.002589, 
20, 5.212216, 14.480102, 0.062295, 0.643131, 4.759894, 19.095032, 0.003260, 
20, 5.227135, 14.480156, 0.077214, 0.745976, 5.142216, 19.116091, 0.004036, 
20, 5.244265, 14.480233, 0.094344, 0.856476, 5.525030, 19.140720, 0.004924, 
20, 5.263757, 14.480339, 0.113837, 0.974645, 5.908415, 19.169234, 0.005931, 
20, 5.285767, 14.480482, 0.135846, 1.100494, 6.292454, 19.201946, 0.007064, 
20, 5.310447, 14.480672, 0.160527, 1.234038, 6.677238, 19.239174, 0.008329, 
20, 5.337952, 14.480920, 0.188033, 1.375296, 7.062863, 19.281259, 0.009731, 
20, 5.368436, 14.481240, 0.218519, 1.524284, 7.449433, 19.328537, 0.011276, 
20, 5.401977, 14.481647, 0.252063, 1.677213, 7.646438, 9.850248, 0.012965, 
20, 5.438580, 14.482155, 0.288669, 1.830286, 7.653668, 0.361487, 0.014796, 
20, 5.478245, 14.482781, 0.328339, 1.983518, 7.661590, 0.396092, 0.016765, 
20, 5.520977, 14.483542, 0.371078, 2.136923, 7.670212, 0.431078, 0.018869, 
20, 5.566778, 14.484458, 0.416888, 2.290513, 7.679541, 0.466448, 0.021103, 
20, 5.615575, 14.485546, 0.465698, 2.440485, 7.498579, -9.048064, 0.023461, 
20, 5.667220, 14.486821, 0.517358, 2.583022, 7.126867, -18.585621, 0.025930, 
20, 5.721562, 14.488301, 0.571720, 2.718123, 6.755057, -18.590478, 0.028499, 
20, 5.778453, 14.489998, 0.628636, 2.845784, 6.383050, -18.600380, 0.031156, 
20, 5.837741, 14.491927, 0.687956, 2.965999, 6.010747, -18.615150, 0.033891, 
20, 5.899278, 14.494100, 0.749531, 3.078760, 5.638055, -18.634595, 0.036691, 
20, 5.962913, 14.496527, 0.813213, 3.184058, 5.264884, -18.658523, 0.039547, 
20, 6.028496, 14.499218, 0.878850, 3.281881, 4.891150, -18.686719, 0.042448, 
20, 6.095875, 14.502179, 0.946294, 3.372217, 4.516771, -18.718965, 0.045382, 
20, 6.164900, 14.505416, 1.015395, 3.455050, 4.141670, -18.755018, 0.048340, 
20, 6.235420, 14.508933, 1.086003, 3.530365, 3.765778, -18.794635, 0.051312, 
20, 6.307282, 14.512731, 1.157966, 3.598146, 3.389027, -18.837546, 0.054289, 
20, 6.380336, 14.516811, 1.231133, 3.658373, 3.011357, -18.883477, 0.057261, 
20, 6.454428, 14.521168, 1.305354, 3.711027, 2.632714, -18.932139, 0.060219, 
20, 6.529407, 14.525800, 1.380475, 3.756088, 2.253050, -18.983232, 0.063156, 
20, 6.605120, 14.530699, 1.456346, 3.793535, 1.872321, -19.036446, 0.066064, 
20, 6.681412, 14.535857, 1.532813, 3.823345, 1.490491, -19.091467, 0.068934, 
20, 6.758132, 14.541263, 1.609723, 3.845495, 1.107532, -19.147970, 0.071761, 
20, 6.835125, 14.546905, 1.686922, 3.859964, 0.723420, -19.205626, 0.074537, 
20, 6.912237, 14.552769, 1.764257, 3.866726, 0.338137, -19.264106, 0.077257, 
20, 6.989390, 14.558846, 1.841649, 3.869631, 0.145230, -9.645375, 0.079918, 
20, 7.066586, 14.565130, 1.919100, 3.872539, 0.145420, 0.009505, 0.082519, 
20, 7.143823, 14.571617, 1.996609, 3.875451, 0.145590, 0.008497, 0.085061, 
20, 7.221102, 14.578303, 2.074177, 3.878366, 0.145741, 0.007542, 0.087543, 
20, 7.298422, 14.585184, 2.151802, 3.881284, 0.145874, 0.006639, 0.089966, 
20, 7.375783, 14.592255, 2.229486, 3.884203, 0.145989, 0.005786, 0.092329, 
20, 7.453186, 14.599513, 2.307229, 3.887125, 0.146089, 0.004983, 0.094632, 
20, 7.530631, 14.606951, 2.385030, 3.890049, 0.146174, 0.004229, 0.096876, 
20, 7.608117, 14.614567, 2.462889, 3.892973, 0.146244, 0.003523, 0.099060, 
20, 7.685645, 14.622356, 2.540807, 3.895900, 0.146301, 0.002864, 0.101185, 
20, 7.763214, 14.630313, 2.618784, 3.898826, 0.146346, 0.002250, 0.103250, 
20, 7.840825, 14.638434, 2.696819, 3.901754, 0.146380, 0.001680, 0.105255, 
20, 7.918479, 14.646715, 2.774912, 3.904682, 0.146403, 0.001154, 0.107200, 
20, 7.996174, 14.655150, 2.853065, 3.907610, 0.146416, 0.000670, 0.109085, 
20, 8.073913, 14.663736, 2.931275, 3.910539, 0.146421, 0.000226, 0.110911, 
20, 8.151693, 14.672469, 3.009545, 3.913467, 0.146417, -0.000177, 0.112677, 
20, 8.229517, 14.681342, 3.087873, 3.916395, 0.146407, -0.000543, 0.114383, 
20, 8.307384, 14.690354, 3.166259, 3.919323, 0.146389, -0.000871, 0.116030, 
20, 8.385294, 14.699497, 3.244704, 3.922250, 0.146366, -0.001163, 0.117617, 
20, 8.463248, 14.708769, 3.323208, 3.925177, 0.146337, -0.001421, 0.119144, 
20, 8.541246, 14.718165, 3.401770, 3.928103, 0.146305, -0.001645, 0.120611, 
20, 8.619289, 14.727680, 3.480390, 3.931029, 0.146268, -0.001837, 0.122018, 
20, 8.697376, 14.737309, 3.559069, 3.933953, 0.146228, -0.001998, 0.123366, 
20, 8.775509, 14.747049, 3.637807, 3.936877, 0.146185, -0.002130, 0.124654, 
20, 8.853688, 14.756894, 3.716603, 3.939800, 0.146141, -0.002234, 0.125883, 
20, 8.931912, 14.766841, 3.795457, 3.942722, 0.146094, -0.002311, 0.127052, 
20, 9.010184, 14.776883, 3.874370, 3.945643, 0.146047, -0.002362, 0.128161, 
20, 9.088502, 14.787018, 3.953341, 3.948562, 0.145999, -0.002388, 0.129211, 
20, 9.166868, 14.797241, 4.032371, 3.951482, 0.145951, -0.002392, 0.130201, 
20, 9.245281, 14.807546, 4.111459, 3.954400, 0.145904, -0.002374, 0.131132, 
20, 9.323744, 14.817929, 4.190605, 3.957317, 0.145857, -0.002335, 0.132003, 
20, 9.402255, 14.828386, 4.269810, 3.960233, 0.145812, -0.002277, 0.132815, 
20, 9.480816, 14.838913, 4.349073, 3.963148, 0.145768, -0.002201, 0.133567, 
20, 9.559427, 14.849503, 4.428394, 3.966063, 0.145726, -0.002107, 0.134259, 
20, 9.638089, 14.860154, 4.507774, 3.968977, 0.145686, -0.001999, 0.134892, 
20, 9.716802, 14.870860, 4.587212, 3.971890, 0.145648, -0.001876, 0.135466, 
20, 9.795566, 14.881617, 4.666708, 3.974802, 0.145613, -0.001741, 0.135980, 
20, 9.874384, 14.892420, 4.746262, 3.977713, 0.145581, -0.001593, 0.136435, 
20, 9.953254, 14.903264, 4.825874, 3.980624, 0.145553, -0.001435, 0.136830, 
