Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 5.349999, 14.480000, 0.000080, 0.008000, 0.400000, 20.000000, 0.000001, 
20, 5.350307, 14.480000, 0.000389, 0.015443, 0.372153, -1.392341, 6.283170, 
20, 5.351064, 14.480000, 0.001146, 0.037834, 1.119527, 37.368714, 6.283133, 
20, 5.352409, 14.480000, 0.002491, 0.067259, 1.471279, 17.587587, 6.283066, 
20, 5.354511, 14.479999, 0.004593, 0.105091, 1.891593, 21.015702, 6.282962, 
20, 5.357538, 14.479999, 0.007619, 0.151328, 2.311850, 21.012829, 6.282813, 
20, 5.361657, 14.479997, 0.011738, 0.205968, 2.732021, 21.008550, 6.282609, 
20, 5.367037, 14.479993, 0.017119, 0.269010, 3.152073, 21.002591, 6.282344, 
20, 5.373846, 14.479986, 0.023928, 0.340449, 3.571966, 20.994661, 6.282008, 
20, 5.382252, 14.479974, 0.032333, 0.420282, 3.991655, 20.984470, 6.281594, 
20, 5.392422, 14.479956, 0.042503, 0.508504, 4.411090, 20.971732, 6.281094, 
20, 5.404524, 14.479927, 0.054606, 0.605108, 4.830213, 20.956146, 6.280500, 
20, 5.418726, 14.479884, 0.068807, 0.710088, 5.248961, 20.937411, 6.279804, 
20, 5.435194, 14.479821, 0.085276, 0.823433, 5.667265, 20.915216, 6.279000, 
20, 5.454097, 14.479733, 0.104179, 0.945134, 6.085050, 20.889248, 6.278078, 
20, 5.475600, 14.479612, 0.125682, 1.075179, 6.502234, 20.859178, 6.277034, 
20, 5.499871, 14.479449, 0.149953, 1.213553, 6.918727, 20.824679, 6.275859, 
20, 5.527075, 14.479232, 0.177158, 1.360242, 7.334435, 20.785396, 6.274548, 
20, 5.557378, 14.478948, 0.207463, 1.515227, 7.749255, 20.740988, 6.273095, 
20, 5.590945, 14.478582, 0.241032, 1.678488, 8.163077, 20.691078, 6.271493, 
20, 5.627859, 14.478118, 0.277949, 1.845810, 8.366063, 10.149323, 6.269742, 
20, 5.668114, 14.477539, 0.318208, 2.012978, 8.358435, -0.381410, 6.267844, 
20, 5.711708, 14.476826, 0.361808, 2.179980, 8.350075, -0.418016, 6.265804, 
20, 5.758636, 14.475959, 0.408744, 2.346799, 8.340974, -0.455048, 6.263624, 
20, 5.808894, 14.474917, 0.459012, 2.513422, 8.331124, -0.492499, 6.261309, 
20, 5.862392, 14.473681, 0.512525, 2.675646, 8.111201, -10.996136, 6.258868, 
20, 5.918959, 14.472233, 0.569111, 2.829280, 7.681692, -21.475464, 6.256311, 
20, 5.978422, 14.470555, 0.628597, 2.974325, 7.252282, -21.470481, 6.253651, 
20, 6.040608, 14.468632, 0.690813, 3.110787, 6.823079, -21.460172, 6.250900, 
20, 6.105345, 14.466449, 0.755586, 3.238671, 6.394184, -21.444705, 6.248070, 
20, 6.172460, 14.463994, 0.822746, 3.357985, 5.965699, -21.424290, 6.245173, 
20, 6.241780, 14.461255, 0.892121, 3.468739, 5.537716, -21.399119, 6.242219, 
20, 6.313135, 14.458223, 0.963540, 3.570946, 5.110328, -21.369421, 6.239220, 
20, 6.386351, 14.454890, 1.036832, 3.664618, 4.683619, -21.335420, 6.236187, 
20, 6.461258, 14.451252, 1.111828, 3.749771, 4.257672, -21.297373, 6.233130, 
20, 6.537685, 14.447306, 1.188356, 3.826423, 3.832561, -21.255539, 6.230060, 
20, 6.615460, 14.443050, 1.266248, 3.894590, 3.408357, -21.210200, 6.226987, 
20, 6.694415, 14.438486, 1.345334, 3.954292, 2.985124, -21.161646, 6.223920, 
20, 6.774378, 14.433619, 1.425445, 4.005551, 2.562921, -21.110189, 6.220868, 
20, 6.855180, 14.428453, 1.506412, 4.048387, 2.141798, -21.056143, 6.217840, 
20, 6.936654, 14.422999, 1.588069, 4.082823, 1.721801, -20.999840, 6.214843, 
20, 7.018632, 14.417265, 1.670246, 4.108882, 1.302969, -20.941618, 6.211886, 
20, 7.100945, 14.411266, 1.752778, 4.126589, 0.885332, -20.881819, 6.208976, 
20, 7.183428, 14.405015, 1.835498, 4.135967, 0.468916, -20.820795, 6.206120, 
20, 7.265914, 14.398529, 1.918238, 4.137042, 0.053738, -20.758898, 6.203323, 
20, 7.348321, 14.391820, 2.000918, 4.133970, -0.153570, -10.365402, 6.200589, 
20, 7.430648, 14.384893, 2.083536, 4.130895, -0.153772, -0.010130, 6.197918, 
20, 7.512895, 14.377755, 2.166092, 4.127816, -0.153953, -0.009010, 6.195309, 
20, 7.595062, 14.370410, 2.248587, 4.124734, -0.154112, -0.007950, 6.192763, 
20, 7.677149, 14.362864, 2.331020, 4.121649, -0.154251, -0.006950, 6.190281, 
20, 7.759156, 14.355122, 2.413391, 4.118561, -0.154371, -0.006008, 6.187861, 
20, 7.841082, 14.347191, 2.495700, 4.115472, -0.154473, -0.005123, 6.185505, 
20, 7.922928, 14.339076, 2.577948, 4.112380, -0.154559, -0.004294, 6.183211, 
20, 8.004695, 14.330781, 2.660134, 4.109288, -0.154629, -0.003520, 6.180981, 
20, 8.086381, 14.322314, 2.742258, 4.106194, -0.154685, -0.002799, 6.178813, 
20, 8.167987, 14.313678, 2.824320, 4.103100, -0.154728, -0.002131, 6.176709, 
20, 8.249514, 14.304880, 2.906320, 4.100004, -0.154758, -0.001513, 6.174668, 
20, 8.330961, 14.295925, 2.988258, 4.096909, -0.154777, -0.000944, 6.172691, 
20, 8.412329, 14.286818, 3.070134, 4.093813, -0.154786, -0.000423, 6.170776, 
20, 8.493619, 14.277565, 3.151948, 4.090717, -0.154785, 0.000051, 6.168925, 
20, 8.574830, 14.268171, 3.233701, 4.087622, -0.154775, 0.000480, 6.167137, 
20, 8.655963, 14.258642, 3.315391, 4.084527, -0.154758, 0.000866, 6.165411, 
20, 8.737018, 14.248982, 3.397020, 4.081432, -0.154734, 0.001210, 6.163750, 
20, 8.817995, 14.239198, 3.478587, 4.078338, -0.154703, 0.001513, 6.162151, 
20, 8.898896, 14.229295, 3.560092, 4.075245, -0.154668, 0.001778, 6.160615, 
20, 8.979721, 14.219278, 3.641535, 4.072152, -0.154628, 0.002004, 6.159143, 
20, 9.060470, 14.209151, 3.722916, 4.069061, -0.154584, 0.002195, 6.157733, 
20, 9.141143, 14.198922, 3.804235, 4.065970, -0.154537, 0.002351, 6.156387, 
20, 9.221742, 14.188594, 3.885493, 4.062880, -0.154487, 0.002474, 6.155104, 
20, 9.302266, 14.178173, 3.966689, 4.059791, -0.154436, 0.002565, 6.153883, 
20, 9.382717, 14.167665, 4.047823, 4.056704, -0.154383, 0.002627, 6.152726, 
20, 9.463094, 14.157073, 4.128895, 4.053617, -0.154330, 0.002660, 6.151632, 
20, 9.543400, 14.146405, 4.209906, 4.050532, -0.154277, 0.002667, 6.150601, 
20, 9.623633, 14.135665, 4.290855, 4.047447, -0.154224, 0.002648, 6.149632, 
20, 9.703795, 14.124857, 4.371742, 4.044364, -0.154172, 0.002604, 6.148727, 
20, 9.783886, 14.113988, 4.452568, 4.041281, -0.154121, 0.002539, 6.147885, 
20, 9.863908, 14.103063, 4.533332, 4.038200, -0.154072, 0.002453, 6.147105, 
