Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 1.350099, 25.450000, 0.000309, 0.012346, 0.246914, 4.938272, 6.283176, 
50, 1.351430, 25.450000, 0.001640, 0.026623, 0.285543, 0.772580, 6.283047, 
50, 1.354425, 25.449999, 0.004635, 0.059900, 0.665549, 7.600119, 6.282757, 
50, 1.359750, 25.449995, 0.009959, 0.106486, 0.931707, 5.323173, 6.282243, 
50, 1.368068, 25.449984, 0.018278, 0.166374, 1.197772, 5.321303, 6.281439, 
50, 1.380046, 25.449956, 0.030256, 0.239558, 1.463684, 5.318228, 6.280283, 
50, 1.396347, 25.449896, 0.046557, 0.326027, 1.729365, 5.313627, 6.278713, 
50, 1.417635, 25.449779, 0.067845, 0.425763, 1.994723, 5.307160, 6.276666, 
50, 1.444572, 25.449569, 0.094782, 0.538745, 2.259646, 5.298462, 6.274083, 
50, 1.477817, 25.449213, 0.128030, 0.664945, 2.524003, 5.287137, 6.270906, 
50, 1.518029, 25.448643, 0.168246, 0.804327, 2.787641, 5.272750, 6.267078, 
50, 1.565864, 25.447763, 0.216088, 0.956846, 3.050382, 5.254822, 6.262547, 
50, 1.621639, 25.446466, 0.271879, 1.115808, 3.179223, 2.576820, 6.257296, 
50, 1.685338, 25.444626, 0.335605, 1.274523, 3.174319, -0.098064, 6.251340, 
50, 1.756942, 25.442107, 0.407253, 1.432954, 3.168609, -0.114212, 6.244698, 
50, 1.836424, 25.438755, 0.486805, 1.591057, 3.162058, -0.131011, 6.237393, 
50, 1.923755, 25.434405, 0.574245, 1.748789, 3.154638, -0.148416, 6.229449, 
50, 2.018900, 25.428878, 0.669550, 1.906105, 3.146320, -0.166346, 6.220893, 
50, 2.121817, 25.421985, 0.772698, 2.062959, 3.137086, -0.184677, 6.211757, 
50, 2.232460, 25.413529, 0.883663, 2.219305, 3.126924, -0.203246, 6.202075, 
50, 2.350774, 25.403302, 1.002418, 2.375097, 3.115831, -0.221854, 6.191882, 
50, 2.476698, 25.391094, 1.128933, 2.530288, 3.103818, -0.240267, 6.181220, 
50, 2.610164, 25.376687, 1.263174, 2.684833, 3.090907, -0.258226, 6.170132, 
50, 2.751098, 25.359863, 1.405109, 2.838690, 3.077134, -0.275457, 6.158663, 
50, 2.899418, 25.340405, 1.554700, 2.991817, 3.062550, -0.291676, 6.146861, 
50, 3.055036, 25.318095, 1.711908, 3.144178, 3.047220, -0.306609, 6.134779, 
50, 3.217857, 25.292721, 1.876695, 3.295739, 3.031220, -0.319998, 6.122469, 
50, 3.387463, 25.264135, 2.048693, 3.439950, 2.884212, -2.940145, 6.110010, 
50, 3.563112, 25.232269, 2.227209, 3.570327, 2.607544, -5.533374, 6.097501, 
50, 3.744074, 25.197099, 2.411557, 3.686958, 2.332610, -5.498678, 6.085036, 
50, 3.929628, 25.158643, 2.601054, 3.789940, 2.059649, -5.459215, 6.072701, 
50, 4.119065, 25.116959, 2.795023, 3.879383, 1.788852, -5.415942, 6.060576, 
50, 4.311691, 25.072147, 2.992793, 3.955400, 1.520358, -5.369878, 6.048733, 
50, 4.506827, 25.024343, 3.193699, 4.018113, 1.254256, -5.322037, 6.037236, 
50, 4.703808, 24.973721, 3.397081, 4.067643, 0.990587, -5.273380, 6.026140, 
50, 4.901989, 24.920488, 3.602287, 4.104110, 0.729347, -5.224799, 6.015495, 
50, 5.100738, 24.864880, 3.808668, 4.127635, 0.470495, -5.177055, 6.005338, 
50, 5.299440, 24.807159, 4.015585, 4.138333, 0.213955, -5.130783, 5.995704, 
50, 5.497497, 24.747609, 4.222401, 4.136314, -0.040369, -5.086488, 5.986615, 
50, 5.694627, 24.686439, 4.428803, 4.128048, -0.165313, -2.498887, 5.978078, 
50, 5.890858, 24.623765, 4.634800, 4.119936, -0.162243, 0.061404, 5.970081, 
50, 6.086221, 24.559700, 4.840399, 4.111974, -0.159242, 0.060015, 5.962616, 
50, 6.280746, 24.494353, 5.045606, 4.104157, -0.156336, 0.058120, 5.955671, 
50, 6.474467, 24.427832, 5.250430, 4.096480, -0.153547, 0.055794, 5.949239, 
50, 6.667417, 24.360239, 5.454877, 4.088935, -0.150891, 0.053103, 5.943309, 
50, 6.859631, 24.291676, 5.658953, 4.081516, -0.148386, 0.050112, 5.937875, 
50, 7.051142, 24.222241, 5.862664, 4.074214, -0.146043, 0.046866, 5.932927, 
50, 7.241988, 24.152029, 6.066015, 4.067020, -0.143872, 0.043416, 5.928458, 
50, 7.432202, 24.081134, 6.269011, 4.059926, -0.141882, 0.039793, 5.924463, 
50, 7.621820, 24.009647, 6.471657, 4.052922, -0.140080, 0.036037, 5.920935, 
50, 7.810878, 23.937659, 6.673957, 4.045999, -0.138472, 0.032167, 5.917868, 
50, 7.999411, 23.865258, 6.875914, 4.039146, -0.137061, 0.028211, 5.915258, 
50, 8.187455, 23.792530, 7.077532, 4.032353, -0.135852, 0.024187, 5.913101, 
50, 8.375043, 23.719561, 7.278813, 4.025611, -0.134847, 0.020108, 5.911394, 
50, 8.562211, 23.646435, 7.479758, 4.018908, -0.134047, 0.015990, 5.910133, 
50, 8.748992, 23.573238, 7.680370, 4.012236, -0.133455, 0.011841, 5.909318, 
50, 8.935420, 23.500050, 7.880649, 4.005582, -0.133071, 0.007673, 5.908946, 
50, 9.121527, 23.426957, 8.080596, 3.998937, -0.132897, 0.003491, 5.909016, 
50, 9.307347, 23.354038, 8.280210, 3.992291, -0.132932, -0.000696, 5.909530, 
50, 9.492910, 23.281379, 8.479492, 3.985632, -0.133176, -0.004883, 5.910488, 
50, 9.678248, 23.209059, 8.678439, 3.978950, -0.133629, -0.009061, 5.911892, 
50, 9.863390, 23.137163, 8.877051, 3.972236, -0.134290, -0.013225, 5.913743, 
50, 10.048365, 23.065773, 9.075325, 3.965478, -0.135158, -0.017366, 5.916044, 
50, 10.233203, 22.994972, 9.273258, 3.958666, -0.136232, -0.021475, 5.918799, 
50, 10.417929, 22.924846, 9.470848, 3.951791, -0.137509, -0.025539, 5.922013, 
50, 10.602571, 22.855478, 9.668090, 3.944842, -0.138986, -0.029546, 5.925690, 
50, 10.787153, 22.786956, 9.864980, 3.937808, -0.140660, -0.033480, 5.929836, 
50, 10.971699, 22.719366, 10.061515, 3.930682, -0.142526, -0.037317, 5.934457, 
50, 11.156231, 22.652796, 10.257687, 3.923453, -0.144578, -0.041040, 5.939560, 
50, 11.340771, 22.587336, 10.453493, 3.916113, -0.146809, -0.044612, 5.945152, 
50, 11.525338, 22.523078, 10.648925, 3.908652, -0.149209, -0.048007, 5.951242, 
50, 11.709949, 22.460115, 10.843979, 3.901064, -0.151768, -0.051178, 5.957837, 
50, 11.894621, 22.398539, 11.038646, 3.893340, -0.154472, -0.054085, 5.964947, 
50, 12.079368, 22.338449, 11.232919, 3.885475, -0.157306, -0.056670, 5.972581, 
50, 12.264202, 22.279940, 11.426793, 3.877463, -0.160249, -0.058872, 5.980750, 
50, 12.449133, 22.223114, 11.620258, 3.869299, -0.163280, -0.060619, 5.989462, 
50, 12.634168, 22.168071, 11.813307, 3.860980, -0.166372, -0.061832, 5.998729, 
50, 12.819314, 22.114914, 12.005932, 3.852505, -0.169493, -0.062421, 6.008561, 
50, 13.004571, 22.063748, 12.198126, 3.843875, -0.172607, -0.062287, 6.018969, 
50, 13.189942, 22.014679, 12.389880, 3.835091, -0.175673, -0.061319, 6.029961, 
50, 13.375421, 21.967815, 12.581188, 3.826159, -0.178644, -0.059404, 6.041549, 
50, 13.561003, 21.923266, 12.772042, 3.817086, -0.181464, -0.056409, 6.053742, 
50, 13.746679, 21.881142, 12.962436, 3.807882, -0.184074, -0.052207, 6.066548, 
50, 13.932435, 21.841553, 13.152365, 3.798562, -0.186408, -0.046663, 6.079975, 
50, 14.118256, 21.804613, 13.341822, 3.789142, -0.188389, -0.039639, 6.094030, 
50, 14.304121, 21.770433, 13.530804, 3.779645, -0.189940, -0.031007, 6.108718, 
50, 14.490008, 21.739124, 13.719309, 3.770097, -0.190972, -0.020646, 6.124043, 
50, 14.675889, 21.710799, 13.907335, 3.760527, -0.191395, -0.008455, 6.140005, 
50, 14.861732, 21.685569, 14.094884, 3.750971, -0.191113, 0.005647, 6.156604, 
50, 15.047505, 21.663542, 14.281957, 3.741470, -0.190028, 0.021696, 6.173836, 
50, 15.233167, 21.644824, 14.468561, 3.732068, -0.188043, 0.039697, 6.191695, 
50, 15.418677, 21.629521, 14.654701, 3.722815, -0.185063, 0.059590, 6.210171, 
50, 15.603991, 21.617732, 14.840390, 3.713765, -0.181000, 0.081258, 6.229249, 
50, 15.789059, 21.609555, 15.025638, 3.704976, -0.175775, 0.104507, 6.248914, 
50, 15.973831, 21.605081, 15.210464, 3.696510, -0.169322, 0.129068, 6.269142, 
50, 16.158251, 21.604398, 15.394885, 3.688430, -0.161592, 0.154587, 0.006724, 
50, 16.342263, 21.607584, 15.578925, 3.680802, -0.152561, 0.180633, 0.027999, 
50, 16.525809, 21.614716, 15.762610, 3.673691, -0.142226, 0.206697, 0.049748, 
50, 16.708829, 21.625857, 15.945968, 3.667160, -0.130615, 0.232208, 0.071932, 
50, 16.891259, 21.641068, 16.129031, 3.661271, -0.117788, 0.256549, 0.094509, 
50, 17.073038, 21.660398, 16.311835, 3.656079, -0.103834, 0.279079, 0.117432, 
50, 17.254102, 21.683889, 16.494417, 3.651635, -0.088876, 0.299163, 0.140651, 
50, 17.434389, 21.711573, 16.676816, 3.647982, -0.073066, 0.316207, 0.164113, 
50, 17.613833, 21.743471, 16.859074, 3.645153, -0.056582, 0.329671, 0.187764, 
50, 17.792373, 21.779597, 17.041232, 3.643171, -0.039626, 0.339123, 0.211547, 
50, 17.969948, 21.819954, 17.223335, 3.642051, -0.022413, 0.344254, 0.235404, 
50, 18.146496, 21.864535, 17.405425, 3.641792, -0.005169, 0.344879, 0.259279, 
50, 18.321959, 21.913323, 17.587544, 3.642386, 0.011881, 0.340999, 0.283114, 
50, 18.496279, 21.966292, 17.769735, 3.643812, 0.028517, 0.332723, 0.306854, 
50, 18.669403, 22.023407, 17.952037, 3.646039, 0.044534, 0.320343, 0.330446, 
50, 18.841278, 22.084624, 18.134488, 3.649026, 0.059747, 0.304259, 0.353839, 
50, 19.011854, 22.149890, 18.317124, 3.652726, 0.073995, 0.284966, 0.376985, 
50, 19.181086, 22.219146, 18.499978, 3.657084, 0.087149, 0.263071, 0.399841, 
50, 19.348930, 22.292322, 18.683080, 3.662039, 0.099107, 0.239158, 0.422366, 
50, 19.515345, 22.369346, 18.866457, 3.667529, 0.109802, 0.213894, 0.444526, 
50, 19.680213, 22.450096, 19.050037, 3.671610, 0.081624, -0.563542, 0.466278, 
50, 19.843168, 22.534302, 19.233463, 3.668520, -0.061803, -2.868539, 0.487551, 
50, 20.003696, 22.621572, 19.416180, 3.654328, -0.283836, -4.440673, 0.508264, 
50, 20.161306, 22.711467, 19.597624, 3.628882, -0.508924, -4.501748, 0.528344, 
50, 20.315529, 22.803510, 19.777225, 3.592029, -0.737058, -4.562689, 0.547728, 
50, 20.465920, 22.897188, 19.954406, 3.543622, -0.968141, -4.621661, 0.566362, 
50, 20.612057, 22.991959, 20.128582, 3.483522, -1.201998, -4.677141, 0.584205, 
50, 20.753537, 23.087252, 20.299163, 3.411602, -1.438397, -4.727968, 0.601220, 
50, 20.889980, 23.182480, 20.465550, 3.327749, -1.677062, -4.773309, 0.617381, 
50, 21.021021, 23.277035, 20.627143, 3.231864, -1.917697, -4.812705, 0.632666, 
