Delta Time, Position, Velocity, 
20, 0.000118, 0.011765, 
20, 0.000588, 0.023529, 
20, 0.001647, 0.052941, 
20, 0.003529, 0.094118, 
20, 0.006471, 0.147059, 
20, 0.010706, 0.211765, 
20, 0.016471, 0.288235, 
20, 0.024000, 0.376471, 
20, 0.033529, 0.476471, 
20, 0.045294, 0.588235, 
20, 0.059529, 0.711765, 
20, 0.076471, 0.847059, 
20, 0.096353, 0.994118, 
20, 0.119412, 1.152941, 
20, 0.145882, 1.323529, 
20, 0.176000, 1.505882, 
20, 0.210000, 1.700000, 
20, 0.248000, 1.900000, 
20, 0.290000, 2.100000, 
20, 0.336000, 2.300000, 
20, 0.385882, 2.494118, 
20, 0.439412, 2.676471, 
20, 0.496353, 2.847059, 
20, 0.556471, 3.005882, 
20, 0.619529, 3.152941, 
20, 0.685294, 3.288235, 
20, 0.753529, 3.411765, 
20, 0.824000, 3.523529, 
20, 0.896471, 3.623529, 
20, 0.970706, 3.711765, 
20, 1.046471, 3.788235, 
20, 1.123529, 3.852941, 
20, 1.201647, 3.905882, 
20, 1.280588, 3.947059, 
20, 1.360118, 3.976471, 
20, 1.440000, 3.994118, 
20, 1.520000, 4.000000, 
20, 1.600000, 4.000000, 
20, 1.680000, 4.000000, 
20, 1.760000, 4.000000, 
20, 1.840000, 4.000000, 
20, 1.920000, 4.000000, 
20, 2.000000, 4.000000, 
20, 2.080000, 4.000000, 
20, 2.160000, 4.000000, 
20, 2.240000, 4.000000, 
20, 2.320000, 4.000000, 
20, 2.400000, 4.000000, 
20, 2.480000, 4.000000, 
20, 2.560000, 4.000000, 
20, 2.640000, 4.000000, 
20, 2.720000, 4.000000, 
20, 2.800000, 4.000000, 
20, 2.880000, 4.000000, 
20, 2.960000, 4.000000, 
20, 3.040000, 4.000000, 
20, 3.120000, 4.000000, 
20, 3.200000, 4.000000, 
20, 3.280000, 4.000000, 
20, 3.360000, 4.000000, 
20, 3.440000, 4.000000, 
20, 3.520000, 4.000000, 
20, 3.599941, 3.997063, 
20, 3.679647, 3.985305, 
20, 3.758883, 3.961783, 
20, 3.837413, 3.926496, 
20, 3.915002, 3.879445, 
20, 3.991414, 3.820629, 
20, 4.066415, 3.750048, 
20, 4.139769, 3.667702, 
20, 4.211241, 3.573592, 
20, 4.280596, 3.467717, 
20, 4.347597, 3.350077, 
20, 4.412011, 3.220673, 
20, 4.473601, 3.079504, 
20, 4.532132, 2.926570, 
20, 4.587369, 2.761871, 
20, 4.639078, 2.585408, 
20, 4.687021, 2.397180, 
20, 4.731024, 2.200125, 
20, 4.771026, 2.000125, 
20, 4.807029, 1.800125, 
20, 4.839090, 1.603062, 
20, 4.867386, 1.414820, 
20, 4.892153, 1.238342, 
20, 4.913626, 1.073629, 
20, 4.932039, 0.920680, 
20, 4.947629, 0.779496, 
20, 4.960631, 0.650077, 
20, 4.971279, 0.532423, 
20, 4.979810, 0.426533, 
20, 4.986458, 0.332408, 
20, 4.991459, 0.250048, 
20, 4.995048, 0.179452, 
20, 4.997461, 0.120621, 
20, 4.998932, 0.073555, 
20, 4.999697, 0.038254, 
20, 4.999991, 0.014717, 
20, 5.000050, 0.002945, 
20, 5.000050, 0.000000, 
