Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 0.000014, 5.980000, 0.000078, 0.007813, 0.390625, 19.531250, 6.283181, 
20, 0.000446, 5.980000, 0.000510, 0.021586, 0.688683, 14.902884, 6.283060, 
20, 0.001417, 5.980000, 0.001481, 0.048572, 1.349273, 33.029492, 6.282786, 
20, 0.003144, 5.979999, 0.003208, 0.086359, 1.889369, 27.004837, 6.282299, 
20, 0.005844, 5.979995, 0.005908, 0.134960, 2.430056, 27.034354, 6.281538, 
20, 0.009731, 5.979987, 0.009796, 0.194394, 2.971712, 27.082775, 6.280440, 
20, 0.015025, 5.979968, 0.015089, 0.264690, 3.514796, 27.154220, 6.278945, 
20, 0.021943, 5.979932, 0.022007, 0.345887, 4.059861, 27.253229, 6.276988, 
20, 0.030703, 5.979867, 0.030768, 0.438038, 4.607528, 27.383357, 6.274506, 
20, 0.041527, 5.979756, 0.041592, 0.541208, 5.158493, 27.548262, 6.271432, 
20, 0.054635, 5.979578, 0.054702, 0.655478, 5.713503, 27.750496, 6.267701, 
20, 0.070252, 5.979301, 0.070320, 0.780945, 6.273338, 27.991757, 6.263243, 
20, 0.088601, 5.978887, 0.088675, 0.917720, 6.838784, 28.272304, 6.257987, 
20, 0.109912, 5.978285, 0.109994, 1.065932, 7.410601, 28.590844, 6.251858, 
20, 0.134411, 5.977430, 0.134508, 1.225722, 7.989464, 28.943115, 6.244780, 
20, 0.162331, 5.976244, 0.162453, 1.397240, 8.575902, 29.321901, 6.236673, 
20, 0.193902, 5.974629, 0.194066, 1.580644, 9.170211, 29.715473, 6.227454, 
20, 0.229358, 5.972466, 0.229587, 1.776091, 9.772330, 30.105930, 6.217036, 
20, 0.268930, 5.969612, 0.269262, 1.983725, 10.381698, 30.468437, 6.205330, 
20, 0.312846, 5.965897, 0.313335, 2.203666, 10.997056, 30.767887, 6.192245, 
20, 0.361221, 5.961131, 0.361944, 2.430459, 11.339662, 17.130309, 6.177720, 
20, 0.414050, 5.955112, 0.415115, 2.658507, 11.402401, 3.136916, 6.161729, 
20, 0.471313, 5.947615, 0.472867, 2.887606, 11.454935, 2.626698, 6.144252, 
20, 0.532976, 5.938395, 0.535215, 3.117438, 11.491640, 1.835270, 6.125273, 
20, 0.598983, 5.927190, 0.602167, 3.347559, 11.506009, 0.718436, 6.104786, 
20, 0.669252, 5.913721, 0.673714, 3.577373, 11.490712, -0.764825, 6.082797, 
20, 0.743668, 5.897695, 0.749837, 3.806129, 11.437784, -2.646401, 6.059328, 
20, 0.822085, 5.878812, 0.830495, 4.032907, 11.338922, -4.943101, 6.034420, 
20, 0.904314, 5.856768, 0.915627, 4.256626, 11.185958, -7.648189, 6.008134, 
20, 0.990126, 5.831269, 1.005148, 4.476056, 10.971474, -10.724221, 5.980559, 
20, 1.079249, 5.802029, 1.098945, 4.689847, 10.689560, -14.095702, 5.951809, 
20, 1.171368, 5.768790, 1.196877, 4.896580, 10.336639, -17.646055, 5.922028, 
20, 1.266024, 5.731367, 1.298663, 5.089303, 9.636179, -35.022975, 5.891423, 
20, 1.362639, 5.689675, 1.403890, 5.261326, 8.601122, -51.752877, 5.860256, 
20, 1.460626, 5.643699, 1.512127, 5.411854, 7.526445, -53.733853, 5.828807, 
20, 1.559412, 5.593498, 1.622936, 5.540481, 6.431317, -54.756372, 5.797364, 
20, 1.658450, 5.539203, 1.735881, 5.647221, 5.337002, -54.715777, 5.766214, 
20, 1.757235, 5.481011, 1.850531, 5.732520, 4.264938, -53.603177, 5.735635, 
20, 1.855313, 5.419175, 1.966475, 5.797216, 3.234807, -51.506559, 5.705889, 
20, 1.952294, 5.353995, 2.083325, 5.842473, 2.262882, -48.596254, 5.677212, 
20, 2.047853, 5.285805, 2.200719, 5.869692, 1.360916, -45.098305, 5.649813, 
20, 2.141729, 5.214961, 2.318327, 5.880405, 0.535671, -41.262254, 5.623870, 
20, 2.233728, 5.141831, 2.435850, 5.876187, -0.210931, -37.330073, 5.599529, 
20, 2.323714, 5.066786, 2.553022, 5.858563, -0.881164, -33.511659, 5.576902, 
20, 2.411601, 4.990193, 2.669601, 5.828952, -1.480559, -29.969770, 5.556077, 
20, 2.497350, 4.912409, 2.785373, 5.788615, -2.016848, -26.814431, 5.537111, 
20, 2.580955, 4.833777, 2.900146, 5.738636, -2.498954, -24.105276, 5.520042, 
20, 2.662440, 4.754627, 3.013744, 5.679913, -2.936131, -21.858851, 5.504890, 
20, 2.741849, 4.675271, 3.126007, 5.613167, -3.337300, -20.058457, 5.491658, 
20, 2.819241, 4.596009, 3.236787, 5.538956, -3.710583, -18.664189, 5.480339, 
20, 2.894684, 4.517124, 3.345940, 5.457695, -4.063022, -17.621914, 5.470918, 
20, 2.968249, 4.438884, 3.453334, 5.369687, -4.400428, -16.870311, 5.463373, 
20, 3.040065, 4.361484, 3.558919, 5.279229, -4.522877, -6.122428, 5.457675, 
20, 3.110303, 4.285052, 3.662723, 5.190211, -4.450924, 3.597619, 5.453793, 
20, 3.179127, 4.209711, 3.764767, 5.102190, -4.401019, 2.495255, 5.451707, 
20, 3.246681, 4.135581, 3.865061, 5.014712, -4.373941, 1.353906, 5.451407, 
20, 3.313101, 4.062781, 3.963607, 4.927310, -4.370083, 0.192919, 5.452890, 
20, 3.378507, 3.991434, 4.060398, 4.839520, -4.389500, -0.970882, 5.456166, 
20, 3.443008, 3.921663, 4.155415, 4.750881, -4.431921, -2.121022, 5.461249, 
20, 3.506696, 3.853592, 4.248634, 4.660947, -4.496706, -3.239249, 5.468169, 
20, 3.569621, 3.787387, 4.339973, 4.566946, -4.700059, -10.167682, 5.476953, 
20, 3.631772, 3.723257, 4.429278, 4.465223, -5.086170, -19.305557, 5.487628, 
20, 3.693108, 3.661421, 4.516374, 4.354809, -5.520706, -21.726793, 5.500211, 
20, 3.753580, 3.602085, 4.601095, 4.236079, -5.936487, -20.789022, 5.514713, 
20, 3.813129, 3.545434, 4.683286, 4.109541, -6.326875, -19.519402, 5.531133, 
20, 3.871683, 3.491635, 4.762803, 3.975860, -6.684089, -17.860700, 5.549457, 
20, 3.929165, 3.440827, 4.839521, 3.835871, -6.999435, -15.767308, 5.569656, 
20, 3.985489, 3.393121, 4.913333, 3.690597, -7.263708, -13.213657, 5.591677, 
20, 4.040567, 3.348595, 4.984158, 3.541241, -7.467787, -10.203953, 5.615444, 
20, 4.094311, 3.307290, 5.051941, 3.389172, -7.603434, -6.782345, 5.640853, 
20, 4.146639, 3.269209, 5.116659, 3.235887, -7.664261, -3.041335, 5.667770, 
20, 4.197476, 3.234317, 5.178318, 3.082951, -7.646783, 0.873892, 5.696028, 
20, 4.246759, 3.202543, 5.236956, 2.931923, -7.551420, 4.768128, 5.725429, 
20, 4.294441, 3.173779, 5.292641, 2.784258, -7.383262, 8.407916, 5.755745, 
20, 4.340488, 3.147894, 5.345466, 2.641210, -7.152401, 11.543066, 5.786721, 
20, 4.384882, 3.124728, 5.395540, 2.503736, -6.873681, 13.935976, 5.818086, 
20, 4.427617, 3.104111, 5.442989, 2.372420, -6.565797, 15.394210, 5.849553, 
20, 4.468693, 3.085861, 5.487937, 2.247424, -6.249802, 15.799747, 5.880835, 
20, 4.508114, 3.069793, 5.530507, 2.128479, -5.947238, 15.128183, 5.911649, 
