Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 0.000000, 0.980000, 0.000020, 0.001985, 0.099227, 4.961339, 0.000000, 
20, 0.000059, 0.980000, 0.000079, 0.002961, 0.048840, -2.519331, 0.000000, 
20, 0.000238, 0.980000, 0.000258, 0.008930, 0.298454, 12.480669, 0.000000, 
20, 0.000555, 0.980000, 0.000575, 0.015876, 0.347294, 2.442008, 0.000000, 
20, 0.001051, 0.980000, 0.001071, 0.024807, 0.446520, 4.961339, 0.000000, 
20, 0.001766, 0.980000, 0.001786, 0.035722, 0.545747, 4.961339, 0.000000, 
20, 0.002738, 0.980000, 0.002758, 0.048621, 0.644974, 4.961339, 0.000000, 
20, 0.004008, 0.980000, 0.004028, 0.063505, 0.744201, 4.961339, 0.000000, 
20, 0.005616, 0.980000, 0.005636, 0.080374, 0.843428, 4.961339, 0.000000, 
20, 0.007600, 0.980000, 0.007620, 0.099227, 0.942654, 4.961339, 0.000000, 
20, 0.010002, 0.980000, 0.010022, 0.120064, 1.041881, 4.961339, 0.000000, 
20, 0.012859, 0.980000, 0.012879, 0.142887, 1.141108, 4.961339, 0.000000, 
20, 0.016213, 0.980000, 0.016233, 0.167693, 1.240335, 4.961339, 0.000000, 
20, 0.020103, 0.980000, 0.020123, 0.194484, 1.339561, 4.961339, 0.000000, 
20, 0.024568, 0.980000, 0.024588, 0.223260, 1.438788, 4.961339, 0.000000, 
20, 0.029649, 0.980000, 0.029668, 0.254021, 1.538015, 4.961339, 0.000000, 
20, 0.035384, 0.980000, 0.035404, 0.286765, 1.637242, 4.961339, 0.000000, 
20, 0.041814, 0.980000, 0.041834, 0.321495, 1.736468, 4.961339, 0.000000, 
20, 0.048978, 0.980000, 0.048998, 0.358209, 1.835695, 4.961339, 0.000000, 
20, 0.056916, 0.980000, 0.056936, 0.396907, 1.934922, 4.961339, 0.000000, 
20, 0.065668, 0.980000, 0.065688, 0.437590, 2.034149, 4.961339, 0.000000, 
20, 0.075273, 0.980000, 0.075293, 0.480258, 2.133376, 4.961339, 0.000000, 
20, 0.085771, 0.980000, 0.085791, 0.524910, 2.232602, 4.961339, 0.000000, 
20, 0.097202, 0.980000, 0.097222, 0.571546, 2.331829, 4.961339, 0.000000, 
20, 0.109606, 0.980000, 0.109625, 0.620167, 2.431056, 4.961339, 0.000000, 
20, 0.123021, 0.980000, 0.123041, 0.670773, 2.530283, 4.961339, 0.000000, 
20, 0.137488, 0.980000, 0.137508, 0.723363, 2.629509, 4.961339, 0.000000, 
20, 0.153047, 0.980000, 0.153067, 0.777938, 2.728736, 4.961339, 0.000000, 
20, 0.169737, 0.980000, 0.169757, 0.834497, 2.827963, 4.961339, 0.000000, 
20, 0.187598, 0.980000, 0.187618, 0.893041, 2.927190, 4.961339, 0.000000, 
20, 0.206649, 0.980000, 0.206669, 0.952577, 2.976803, 2.480669, 0.000000, 
20, 0.226892, 0.980000, 0.226911, 1.012113, 2.976803, 0.000000, 0.000000, 
20, 0.248325, 0.980000, 0.248344, 1.071649, 2.976803, -0.000000, 0.000000, 
20, 0.270948, 0.980000, 0.270968, 1.131185, 2.976803, 0.000000, 0.000000, 
20, 0.294763, 0.980000, 0.294783, 1.190721, 2.976803, -0.000000, 0.000000, 
20, 0.319768, 0.980000, 0.319788, 1.250257, 2.976803, -0.000000, 0.000000, 
