Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 5.350137, 17.400000, 0.000309, 0.012346, 0.246914, 4.938272, 0.000019, 
50, 5.351254, 17.400000, 0.001425, 0.022332, 0.199723, -0.943809, 0.000177, 
50, 5.353766, 17.400001, 0.003937, 0.050245, 0.558261, 7.170764, 0.000531, 
50, 5.358232, 17.400005, 0.008403, 0.089318, 0.781469, 4.464160, 0.001160, 
50, 5.365209, 17.400016, 0.015381, 0.139545, 1.004530, 4.461209, 0.002146, 
50, 5.375255, 17.400045, 0.025426, 0.200912, 1.227348, 4.456375, 0.003566, 
50, 5.388925, 17.400107, 0.039096, 0.273403, 1.449809, 4.449217, 0.005504, 
50, 5.406774, 17.400228, 0.056946, 0.356991, 1.671774, 4.439296, 0.008042, 
50, 5.429355, 17.400446, 0.079528, 0.451646, 1.893084, 4.426205, 0.011266, 
50, 5.457219, 17.400815, 0.107394, 0.557324, 2.113563, 4.409574, 0.015263, 
50, 5.490912, 17.401412, 0.141093, 0.673975, 2.333018, 4.389101, 0.020125, 
50, 5.530978, 17.402335, 0.181170, 0.801537, 2.551247, 4.364583, 0.025949, 
50, 5.577677, 17.403706, 0.227889, 0.934380, 2.656857, 2.112193, 0.032792, 
50, 5.630986, 17.405665, 0.281234, 1.066890, 2.650192, -0.133302, 0.040679, 
50, 5.690876, 17.408371, 0.341185, 1.199028, 2.642768, -0.148474, 0.049632, 
50, 5.757315, 17.412005, 0.407723, 1.330763, 2.634693, -0.161504, 0.059680, 
50, 5.830263, 17.416772, 0.480826, 1.462068, 2.626107, -0.171716, 0.070850, 
50, 5.909673, 17.422899, 0.560473, 1.592928, 2.617192, -0.178300, 0.083173, 
50, 5.995492, 17.430635, 0.646640, 1.723337, 2.608179, -0.180270, 0.096678, 
50, 6.087656, 17.440257, 0.739305, 1.853304, 2.599356, -0.176460, 0.111395, 
50, 6.186094, 17.452062, 0.838448, 1.982858, 2.591080, -0.165519, 0.127351, 
50, 6.290722, 17.466374, 0.944050, 2.112047, 2.583783, -0.145940, 0.144571, 
50, 6.401446, 17.483539, 1.056097, 2.240946, 2.577979, -0.116075, 0.163073, 
50, 6.518162, 17.503929, 1.174580, 2.369660, 2.574268, -0.074228, 0.182871, 
50, 6.640749, 17.527938, 1.299497, 2.498326, 2.573330, -0.018749, 0.203967, 
50, 6.769077, 17.555981, 1.430853, 2.627122, 2.575920, 0.051795, 0.226353, 
50, 6.903000, 17.588494, 1.568666, 2.756264, 2.582841, 0.138428, 0.250005, 
50, 7.042097, 17.625857, 1.712693, 2.880545, 2.485619, -1.944450, 0.274836, 
50, 7.185679, 17.668354, 1.862433, 2.994797, 2.285039, -4.011595, 0.300692, 
50, 7.333066, 17.716226, 2.017399, 3.099319, 2.090435, -3.892078, 0.327398, 
50, 7.483583, 17.769655, 2.177118, 3.194381, 1.901236, -3.783994, 0.354762, 
50, 7.636571, 17.828765, 2.341128, 3.280204, 1.716469, -3.695340, 0.382576, 
50, 7.791388, 17.893608, 2.508976, 3.356944, 1.534797, -3.633441, 0.410625, 
50, 7.947409, 17.964165, 2.680209, 3.424674, 1.354593, -3.604075, 0.438684, 
50, 8.104036, 18.040341, 2.854378, 3.483377, 1.174056, -3.610736, 0.466534, 
50, 8.260695, 18.121963, 3.031025, 3.532944, 0.991347, -3.654181, 0.493960, 
50, 8.416841, 18.208782, 3.209684, 3.573180, 0.804730, -3.732331, 0.520761, 
50, 8.571959, 18.300472, 3.389875, 3.603815, 0.612701, -3.840579, 0.546755, 
50, 8.725565, 18.396639, 3.571101, 3.624519, 0.414080, -3.972426, 0.571781, 
50, 8.877438, 18.496981, 3.753129, 3.640553, 0.320677, -1.868065, 0.595738, 
50, 9.027609, 18.601328, 3.935993, 3.657288, 0.334699, 0.280448, 0.618580, 
50, 9.176116, 18.709500, 4.119721, 3.674549, 0.345216, 0.210333, 0.640272, 
50, 9.323009, 18.821317, 4.304329, 3.692176, 0.352543, 0.146546, 0.660790, 
50, 9.468345, 18.936592, 4.489831, 3.710029, 0.357047, 0.090071, 0.680117, 
50, 9.612188, 19.055140, 4.676230, 3.727984, 0.359117, 0.041406, 0.698248, 
50, 9.754615, 19.176774, 4.863527, 3.745942, 0.359149, 0.000639, 0.715182, 
50, 9.895705, 19.301311, 5.051718, 3.763818, 0.357526, -0.032450, 0.730925, 
50, 10.035548, 19.428567, 5.240796, 3.781549, 0.354611, -0.058317, 0.745487, 
50, 10.174239, 19.558365, 5.430750, 3.799085, 0.350733, -0.077561, 0.758879, 
50, 10.311880, 19.690528, 5.621570, 3.816395, 0.346189, -0.090863, 0.771118, 
50, 10.448578, 19.824886, 5.813242, 3.833457, 0.341243, -0.098937, 0.782219, 
50, 10.584446, 19.961273, 6.005756, 3.850263, 0.336118, -0.102485, 0.792201, 
50, 10.719600, 20.099527, 6.199096, 3.866813, 0.331010, -0.102173, 0.801079, 
50, 10.854162, 20.239489, 6.393252, 3.883117, 0.326079, -0.098617, 0.808870, 
50, 10.988258, 20.381008, 6.588212, 3.899190, 0.321460, -0.092369, 0.815591, 
50, 11.122017, 20.523932, 6.783964, 3.915054, 0.317264, -0.083920, 0.821253, 
50, 11.255573, 20.668118, 6.980501, 3.930733, 0.313579, -0.073699, 0.825871, 
50, 11.389062, 20.813421, 7.177814, 3.946256, 0.310475, -0.062079, 0.829454, 
50, 11.522624, 20.959702, 7.375897, 3.961657, 0.308006, -0.049384, 0.832010, 
50, 11.656401, 21.106822, 7.574745, 3.976967, 0.306211, -0.035896, 0.833545, 
50, 11.790540, 21.254644, 7.774356, 3.992223, 0.305118, -0.021864, 0.834064, 
50, 11.925189, 21.403032, 7.974729, 4.007460, 0.304743, -0.007515, 0.833566, 
50, 12.060501, 21.551848, 8.175865, 4.022715, 0.305090, 0.006939, 0.832052, 
50, 12.196630, 21.700956, 8.377766, 4.038022, 0.306154, 0.021290, 0.829517, 
50, 12.333733, 21.850215, 8.580437, 4.053418, 0.307920, 0.035326, 0.825956, 
50, 12.471971, 21.999483, 8.783884, 4.068936, 0.310361, 0.048820, 0.821360, 
50, 12.611412, 22.148513, 8.987977, 4.081863, 0.258526, -1.036715, 0.815723, 
50, 12.751905, 22.296827, 9.192269, 4.085843, 0.079614, -3.578229, 0.809051, 
50, 12.893158, 22.443816, 9.396127, 4.077163, -0.173608, -5.064431, 0.801366, 
50, 13.034856, 22.588875, 9.598909, 4.055639, -0.430474, -5.137328, 0.792700, 
50, 13.176655, 22.731409, 9.799963, 4.021081, -0.691173, -5.213991, 0.783099, 
50, 13.318175, 22.870834, 9.998627, 3.973287, -0.955880, -5.294126, 0.772623, 
50, 13.459000, 23.006587, 10.194230, 3.912050, -1.224733, -5.377064, 0.761344, 
50, 13.598669, 23.138125, 10.386088, 3.837159, -1.497819, -5.461728, 0.749350, 
50, 13.736678, 23.264931, 10.573508, 3.748402, -1.775151, -5.546627, 0.736743, 
50, 13.872475, 23.386522, 10.755786, 3.645569, -2.056645, -5.629892, 0.723638, 
