Delta Time, Position, Velocity, 
20, 0.000118, 0.011765, 
20, 0.000442, 0.016198, 
20, 0.001170, 0.036441, 
20, 0.002466, 0.064766, 
20, 0.004489, 0.101153, 
20, 0.007400, 0.145563, 
20, 0.011359, 0.197945, 
20, 0.016523, 0.258224, 
20, 0.023049, 0.326301, 
20, 0.031091, 0.402053, 
20, 0.040797, 0.485325, 
20, 0.052316, 0.575932, 
20, 0.065789, 0.673657, 
20, 0.081354, 0.778251, 
20, 0.099143, 0.889435, 
20, 0.119281, 1.006905, 
20, 0.141887, 1.130341, 
20, 0.166998, 1.255545, 
20, 0.194568, 1.378473, 
20, 0.224550, 1.499103, 
20, 0.256824, 1.613722, 
20, 0.291202, 1.718886, 
20, 0.327505, 1.815170, 
20, 0.365571, 1.903285, 
20, 0.405252, 1.984067, 
20, 0.446421, 2.058446, 
20, 0.488970, 2.127411, 
20, 0.532809, 2.191964, 
20, 0.577870, 2.253060, 
20, 0.624101, 2.311546, 
20, 0.671463, 2.368098, 
20, 0.719926, 2.423170, 
20, 0.769465, 2.476949, 
20, 0.820052, 2.529334, 
20, 0.871651, 2.579938, 
20, 0.924213, 2.628107, 
20, 0.977672, 2.672962, 
20, 1.032022, 2.717485, 
20, 1.087320, 2.764902, 
20, 1.143612, 2.814612, 
20, 1.200933, 2.866045, 
20, 1.259307, 2.918675, 
20, 1.318747, 2.972030, 
20, 1.379261, 3.025696, 
20, 1.440847, 3.079319, 
20, 1.503500, 3.132606, 
20, 1.567206, 3.185319, 
20, 1.631951, 3.237274, 
20, 1.697718, 3.288331, 
20, 1.764486, 3.338397, 
20, 1.832234, 3.387413, 
20, 1.900941, 3.435350, 
20, 1.970585, 3.482209, 
20, 2.041146, 3.528011, 
20, 2.112602, 3.572795, 
20, 2.184934, 3.616615, 
20, 2.258125, 3.659539, 
20, 2.332158, 3.701642, 
20, 2.407018, 3.743008, 
20, 2.482692, 3.783727, 
20, 2.559170, 3.823891, 
20, 2.636442, 3.863597, 
20, 2.714501, 3.902947, 
20, 2.793342, 3.942040, 
20, 2.872961, 3.980979, 
20, 2.953359, 4.019868, 
20, 3.034535, 4.058809, 
20, 3.116493, 4.097906, 
20, 3.199238, 4.137261, 
20, 3.282778, 4.176975, 
20, 3.367121, 4.217148, 
20, 3.452278, 4.257876, 
20, 3.538263, 4.299254, 
20, 3.625091, 4.341370, 
20, 3.712777, 4.384309, 
20, 3.801340, 4.428145, 
20, 3.890799, 4.472944, 
20, 3.981174, 4.518762, 
20, 4.072487, 4.565637, 
20, 4.164758, 4.613591, 
20, 4.258011, 4.662621, 
20, 4.352265, 4.712699, 
20, 4.447540, 4.763767, 
20, 4.543855, 4.815728, 
20, 4.641224, 4.868443, 
20, 4.739658, 4.921727, 
20, 4.839165, 4.975341, 
20, 4.939745, 5.028989, 
20, 5.041391, 5.082317, 
20, 5.144089, 5.134910, 
20, 5.247815, 5.186294, 
20, 5.352534, 5.235943, 
20, 5.458200, 5.283287, 
20, 5.564751, 5.327543, 
20, 5.671954, 5.360170, 
20, 5.779405, 5.372564, 
20, 5.886682, 5.363851, 
20, 5.993350, 5.333384, 
20, 6.098966, 5.280782, 
20, 6.203085, 5.205949, 
20, 6.305266, 5.109081, 
20, 6.405079, 4.990632, 
20, 6.502105, 4.851286, 
20, 6.595942, 4.691889, 
20, 6.686210, 4.513399, 
20, 6.772547, 4.316815, 
20, 6.854609, 4.103126, 
20, 6.932074, 3.873260, 
20, 7.004635, 3.628048, 
20, 7.071999, 3.368198, 
20, 7.133889, 3.094463, 
20, 7.190192, 2.815157, 
20, 7.240955, 2.538147, 
20, 7.286226, 2.263587, 
20, 7.326210, 1.999196, 
20, 7.361257, 1.752359, 
20, 7.391713, 1.522757, 
20, 7.417914, 1.310087, 
20, 7.440196, 1.114071, 
20, 7.458885, 0.934461, 
20, 7.474306, 0.771041, 
20, 7.486778, 0.623626, 
20, 7.496620, 0.492063, 
20, 7.504144, 0.376228, 
20, 7.509665, 0.276024, 
20, 7.513492, 0.191377, 
20, 7.515937, 0.122234, 
20, 7.517308, 0.068560, 
20, 7.517915, 0.030332, 
20, 7.518065, 0.007539, 
20, 7.518065, 0.000000, 
