Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 5.350050, 14.480000, 0.000160, 0.016000, 0.800000, 40.000000, 0.000003, 
20, 5.350657, 14.480000, 0.000767, 0.030370, 0.718502, -4.074890, 0.000036, 
20, 5.352024, 14.480000, 0.002134, 0.068333, 1.898160, 58.982913, 0.000111, 
20, 5.354454, 14.480001, 0.004564, 0.121484, 2.657516, 37.967785, 0.000244, 
20, 5.358250, 14.480002, 0.008360, 0.189824, 3.417012, 37.974805, 0.000451, 
20, 5.363717, 14.480005, 0.013827, 0.273359, 4.176739, 37.986315, 0.000750, 
20, 5.371159, 14.480012, 0.021269, 0.372095, 4.936807, 38.003438, 0.001157, 
20, 5.380880, 14.480026, 0.030990, 0.486042, 5.697354, 38.027330, 0.001686, 
20, 5.393184, 14.480051, 0.043294, 0.615213, 6.458537, 38.059150, 0.002355, 
20, 5.408377, 14.480093, 0.058487, 0.759623, 7.220539, 38.100081, 0.003179, 
20, 5.426762, 14.480161, 0.076873, 0.919295, 7.983565, 38.151345, 0.004173, 
20, 5.448647, 14.480265, 0.098758, 1.094252, 8.747849, 38.214186, 0.005352, 
20, 5.474337, 14.480420, 0.124448, 1.284525, 9.513647, 38.289895, 0.006729, 
20, 5.504139, 14.480644, 0.154251, 1.490149, 10.281243, 38.379811, 0.008318, 
20, 5.538361, 14.480960, 0.188475, 1.711168, 11.050950, 38.485314, 0.010131, 
20, 5.577159, 14.481393, 0.227275, 1.940021, 11.442637, 19.584385, 0.012171, 
20, 5.620538, 14.481970, 0.270658, 2.169138, 11.455856, 0.660914, 0.014434, 
20, 5.668503, 14.482722, 0.318629, 2.398553, 11.470712, 0.742804, 0.016912, 
20, 5.721061, 14.483681, 0.371195, 2.628297, 11.487229, 0.825856, 0.019600, 
20, 5.778216, 14.484885, 0.428363, 2.858406, 11.505430, 0.910084, 0.022489, 
20, 5.839976, 14.486369, 0.490141, 3.088912, 11.525340, 0.995472, 0.025573, 
20, 5.906349, 14.488176, 0.556538, 3.319852, 11.546979, 1.081978, 0.028841, 
20, 5.977341, 14.490347, 0.627563, 3.551259, 11.570370, 1.169526, 0.032285, 
20, 6.052960, 14.492926, 0.703227, 3.783170, 11.595530, 1.258015, 0.035894, 
20, 6.133215, 14.495959, 0.783539, 4.015620, 11.622477, 1.347314, 0.039656, 
20, 6.217962, 14.499488, 0.868359, 4.240986, 11.268297, -17.708996, 0.043555, 
20, 6.306901, 14.503543, 0.957391, 4.451611, 10.531257, -36.851973, 0.047562, 
20, 6.399736, 14.508153, 1.050341, 4.647471, 9.792991, -36.913291, 0.051655, 
20, 6.496168, 14.513340, 1.146911, 4.828534, 9.053157, -36.991740, 0.055807, 
20, 6.595896, 14.519122, 1.246806, 4.994762, 8.311429, -37.086398, 0.059996, 
20, 6.698619, 14.525510, 1.349729, 5.146112, 7.567504, -37.196239, 0.064197, 
20, 6.804038, 14.532510, 1.455379, 5.282534, 6.821101, -37.320146, 0.068390, 
20, 6.911849, 14.540121, 1.563459, 5.403974, 6.071963, -37.456904, 0.072554, 
20, 7.021750, 14.548338, 1.673666, 5.510371, 5.319858, -37.605220, 0.076669, 
20, 7.133436, 14.557146, 1.785699, 5.601662, 4.564584, -37.763731, 0.080717, 
20, 7.246604, 14.566528, 1.899255, 5.677782, 3.805963, -37.931018, 0.084680, 
20, 7.360946, 14.576457, 2.014028, 5.738659, 3.043851, -38.105623, 0.088544, 
20, 7.476158, 14.586904, 2.129713, 5.784221, 2.278130, -38.286067, 0.092295, 
20, 7.591931, 14.597833, 2.246001, 5.814396, 1.508713, -38.470857, 0.095919, 
20, 7.707958, 14.609202, 2.362583, 5.829106, 0.735542, -38.658508, 0.099407, 
20, 7.824083, 14.620982, 2.479304, 5.836064, 0.347894, -19.382435, 0.102752, 
20, 7.940308, 14.633156, 2.596165, 5.843026, 0.348082, 0.009441, 0.105956, 
20, 8.056632, 14.645709, 2.713164, 5.849990, 0.348205, 0.006119, 0.109017, 
20, 8.173057, 14.658625, 2.830303, 5.856955, 0.348268, 0.003176, 0.111936, 
20, 8.289583, 14.671889, 2.947582, 5.863921, 0.348280, 0.000598, 0.114714, 
20, 8.406211, 14.685484, 3.065000, 5.870886, 0.348248, -0.001634, 0.117348, 
20, 8.522942, 14.699394, 3.182557, 5.877849, 0.348177, -0.003534, 0.119841, 
20, 8.639777, 14.713604, 3.300253, 5.884811, 0.348075, -0.005122, 0.122192, 
20, 8.756718, 14.728097, 3.418088, 5.891770, 0.347946, -0.006412, 0.124401, 
20, 8.873766, 14.742858, 3.536063, 5.898726, 0.347798, -0.007424, 0.126468, 
20, 8.990921, 14.757870, 3.654176, 5.905679, 0.347634, -0.008174, 0.128393, 
20, 9.108187, 14.773117, 3.772429, 5.912628, 0.347461, -0.008678, 0.130176, 
20, 9.225564, 14.788583, 3.890820, 5.919573, 0.347282, -0.008956, 0.131817, 
