dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500022,14.475000,0.000137,0.013699,0.684931,34.246535,0.000006
0.020000,1.500448,14.475000,0.000563,0.021307,0.380406,-15.226243,0.000131
0.020000,1.501407,14.475000,0.001522,0.047938,1.331562,47.557805,0.000412
0.020000,1.503111,14.475001,0.003226,0.085216,1.863883,26.616052,0.000912
0.020000,1.505774,14.475005,0.005889,0.133130,2.395740,26.592868,0.001694
0.020000,1.509607,14.475014,0.009722,0.191667,2.926842,26.555085,0.002820
0.020000,1.514717,14.475032,0.014832,0.255482,3.190749,13.195327,0.004324
0.020000,1.521101,14.475065,0.021216,0.319234,3.187609,-0.156999,0.006205
0.020000,1.528759,14.475122,0.028875,0.382909,3.183729,-0.193961,0.008467
0.020000,1.537689,14.475209,0.037804,0.446492,3.179143,-0.229334,0.011110
0.020000,1.547887,14.475338,0.048004,0.509970,3.173888,-0.262744,0.014137
0.020000,1.559352,14.475519,0.059470,0.573330,3.168012,-0.293792,0.017550
0.020000,1.572081,14.475767,0.072202,0.636561,3.161571,-0.322031,0.021352
0.020000,1.586070,14.476095,0.086195,0.699654,3.154630,-0.347063,0.025546
0.020000,1.601317,14.476520,0.101447,0.762599,3.147265,-0.368236,0.030135
0.020000,1.617816,14.477058,0.117955,0.825390,3.139563,-0.385130,0.035121
0.020000,1.635563,14.477729,0.135715,0.888023,3.131622,-0.397018,0.040509
0.020000,1.654555,14.478554,0.154725,0.950494,3.123555,-0.403355,0.046302
0.020000,1.674787,14.479555,0.174981,1.012804,3.115489,-0.403332,0.052502
0.020000,1.696252,14.480754,0.196480,1.074955,3.107565,-0.396188,0.059113
0.020000,1.718947,14.482177,0.219219,1.136954,3.099941,-0.381198,0.066139
0.020000,1.742864,14.483850,0.243195,1.198810,3.092792,-0.357444,0.073581
0.020000,1.768000,14.485802,0.268406,1.260536,3.086313,-0.323956,0.081444
0.020000,1.794346,14.488063,0.294849,1.322150,3.080715,-0.279910,0.089728
0.020000,1.821897,14.490662,0.322523,1.383675,3.076228,-0.224333,0.098437
0.020000,1.850646,14.493634,0.351425,1.445137,3.073104,-0.156228,0.107570
0.020000,1.880588,14.497012,0.381557,1.506569,3.071610,-0.074679,0.117130
0.020000,1.911714,14.500832,0.412917,1.568010,3.072033,0.021164,0.127115
0.020000,1.944020,14.505132,0.445507,1.629503,3.074677,0.132168,0.137525
0.020000,1.977497,14.509950,0.479329,1.691100,3.079857,0.259006,0.148357
0.020000,2.012139,14.515327,0.514386,1.752858,3.087902,0.402271,0.159608
0.020000,2.047940,14.521304,0.550683,1.814841,3.099148,0.562306,0.171274
0.020000,2.084894,14.527926,0.588225,1.877120,3.113934,0.739288,0.183348
0.020000,2.122994,14.535237,0.627021,1.939772,3.132594,0.933015,0.195823
0.020000,2.162236,14.543284,0.667078,2.002881,3.155456,1.143068,0.208690
0.020000,2.202612,14.552115,0.708409,2.066538,3.182827,1.368563,0.221936
0.020000,2.244119,14.561779,0.751026,2.130838,3.214992,1.608276,0.235550
0.020000,2.286751,14.572326,0.794944,2.195882,3.252201,1.860449,0.249515
0.020000,2.330504,14.583810,0.840179,2.261775,3.294660,2.122940,0.263815
0.020000,2.375376,14.596283,0.886752,2.328625,3.342523,2.393129,0.278429
0.020000,2.421361,14.609800,0.934682,2.396543,3.395881,2.667905,0.293336
0.020000,2.468457,14.624417,0.983995,2.465638,3.454756,2.943743,0.308512
0.020000,2.516663,14.640191,1.034716,2.536020,3.519093,3.216836,0.323930
0.020000,2.565974,14.657179,1.086871,2.607795,3.588753,3.483009,0.339561
0.020000,2.616391,14.675439,1.140493,2.681065,3.663513,3.737990,0.355376
0.020000,2.667910,14.695030,1.195611,2.755926,3.743061,3.977431,0.371341
0.020000,2.720531,14.716012,1.252261,2.832466,3.827004,4.197126,0.387421
0.020000,2.774251,14.738442,1.310476,2.910764,3.914865,4.393064,0.403582
0.020000,2.829070,14.762380,1.370294,2.990886,4.006099,4.561726,0.419785
0.020000,2.884986,14.787884,1.431751,3.072888,4.100101,4.700075,0.435992
0.020000,2.941998,14.815011,1.494888,3.156812,4.196217,4.805802,0.452163
0.020000,3.000103,14.843818,1.559741,3.242687,4.293765,4.877380,0.468259
0.020000,3.059299,14.874358,1.626352,3.330528,4.392048,4.914146,0.484239
0.020000,3.119586,14.906685,1.694759,3.420336,4.490375,4.916363,0.500063
0.020000,3.180960,14.940848,1.765001,3.512097,4.588078,4.885185,0.515690
0.020000,3.243420,14.976896,1.837116,3.605788,4.684532,4.822651,0.531082
0.020000,3.306963,15.014874,1.911144,3.701371,4.779164,4.731602,0.546198
0.020000,3.371589,15.054822,1.987120,3.798801,4.871475,4.615560,0.561003
0.020000,3.437296,15.096780,2.065080,3.898022,4.961048,4.478641,0.575458
0.020000,3.504083,15.140782,2.145060,3.998973,5.047555,4.325363,0.589528
0.020000,3.571953,15.186857,2.227091,4.101588,5.130766,4.160549,0.603179
0.020000,3.640905,15.235034,2.311207,4.205799,5.210548,3.989123,0.616379
0.020000,3.710946,15.285334,2.397438,4.311536,5.286869,3.816058,0.629095
0.020000,3.782080,15.337775,2.485813,4.418732,5.359792,3.646149,0.641299
0.020000,3.854316,15.392370,2.576359,4.527322,5.429473,3.484011,0.652961
0.020000,3.927664,15.449129,2.669104,4.637245,5.496152,3.333958,0.664055
0.020000,4.002140,15.508057,2.764073,4.748448,5.560150,3.199931,0.674553
0.020000,4.077760,15.569154,2.861291,4.860885,5.621861,3.085533,0.684431
0.020000,4.154547,15.632416,2.960781,4.974520,5.681740,2.993940,0.693664
0.020000,4.232528,15.697834,3.062568,5.089326,5.740300,2.927992,0.702228
0.020000,4.311732,15.765396,3.166673,5.205288,5.798102,2.890136,0.710100
0.020000,4.392198,15.835085,3.273122,5.322403,5.855753,2.882550,0.717255
