dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500034,12.525000,0.000137,0.013699,0.684931,34.246535,0.000006
0.020000,1.500704,12.525000,0.000807,0.033488,0.989456,15.226246,0.000131
0.020000,1.502211,12.525000,0.002314,0.075350,2.093092,55.181797,0.000412
0.020000,1.504890,12.525002,0.004993,0.133962,2.930631,41.876996,0.000912
0.020000,1.509077,12.525008,0.009180,0.209335,3.768636,41.900219,0.001694
0.020000,1.515107,12.525021,0.015209,0.301483,4.607395,41.937946,0.002820
0.020000,1.523148,12.525050,0.023250,0.402051,5.028417,21.051136,0.004324
0.020000,1.533201,12.525103,0.033304,0.502682,5.031557,0.156969,0.006205
0.020000,1.545269,12.525191,0.045372,0.603391,5.035435,0.193894,0.008467
0.020000,1.559352,12.525329,0.059456,0.704191,5.040019,0.229237,0.011110
0.020000,1.575453,12.525533,0.075558,0.805097,5.045272,0.262628,0.014137
0.020000,1.593573,12.525820,0.093680,0.906120,5.051145,0.293665,0.017550
0.020000,1.613714,12.526211,0.113825,1.007271,5.057584,0.321935,0.021352
0.020000,1.635879,12.526731,0.135997,1.108562,5.064521,0.346844,0.025546
0.020000,1.660070,12.527405,0.160197,1.209999,5.071883,0.368095,0.030135
0.020000,1.686288,12.528261,0.186428,1.311591,5.079581,0.384907,0.035121
0.020000,1.714535,12.529329,0.214695,1.413341,5.087518,0.396851,0.040509
0.020000,1.744811,12.530644,0.245000,1.515253,5.095580,0.403086,0.046302
0.020000,1.777118,12.532241,0.277347,1.617326,5.103641,0.403051,0.052502
0.020000,1.811456,12.534160,0.311738,1.719557,5.111560,0.395975,0.059113
0.020000,1.847823,12.536440,0.348177,1.821941,5.119178,0.380901,0.066139
0.020000,1.886219,12.539127,0.386666,1.924467,5.126319,0.357054,0.073581
0.020000,1.926639,12.542266,0.427209,2.027123,5.132792,0.323648,0.081444
0.020000,1.969081,12.545907,0.469806,2.129891,5.138384,0.279576,0.089728
0.020000,2.013539,12.550102,0.514461,2.232748,5.142862,0.223926,0.098437
0.020000,2.060004,12.554905,0.561175,2.335667,5.145979,0.155818,0.107570
0.020000,2.108469,12.560373,0.609947,2.438617,5.147465,0.074295,0.117130
0.020000,2.158922,12.566565,0.660778,2.541557,5.147033,-0.021598,0.127115
0.020000,2.211348,12.573543,0.713667,2.644445,5.144381,-0.132596,0.137525
0.020000,2.265733,12.581370,0.768612,2.747229,5.139191,-0.259462,0.148357
0.020000,2.322055,12.590112,0.825609,2.849851,5.131137,-0.402710,0.159608
0.020000,2.380294,12.599836,0.884654,2.952249,5.119882,-0.562760,0.171274
0.020000,2.440423,12.610611,0.945741,3.054351,5.105088,-0.739686,0.183348
0.020000,2.502414,12.622506,1.008862,3.156079,5.086420,-0.933436,0.195823
0.020000,2.566233,12.635593,1.074009,3.257350,5.063551,-1.143445,0.208690
0.020000,2.631844,12.649942,1.141171,3.358074,5.036172,-1.368925,0.221936
0.020000,2.699205,12.665625,1.210334,3.458154,5.004001,-1.608549,0.235550
0.020000,2.768272,12.682713,1.281484,3.557490,4.966787,-1.860693,0.249515
0.020000,2.838997,12.701275,1.354603,3.655976,4.924325,-2.123141,0.263815
0.020000,2.911324,12.721381,1.429673,3.753505,4.876460,-2.393227,0.278429
0.020000,2.985198,12.743095,1.506673,3.849967,4.823102,-2.667899,0.293336
0.020000,3.060557,12.766484,1.585578,3.945252,4.764228,-2.943686,0.308512
0.020000,3.137337,12.791607,1.666363,4.039250,4.699895,-3.216645,0.323930
0.020000,3.215468,12.818522,1.749000,4.131855,4.630241,-3.482720,0.339561
0.020000,3.294879,12.847283,1.833459,4.222964,4.555489,-3.737581,0.355376
0.020000,3.375497,12.877939,1.919709,4.312483,4.475951,-3.976918,0.371341
0.020000,3.457245,12.910533,2.007715,4.400324,4.392022,-4.196471,0.387421
0.020000,3.540046,12.945105,2.097443,4.486407,4.304175,-4.392329,0.403582
0.020000,3.623820,12.981686,2.188857,4.570666,4.212958,-4.560863,0.419785
0.020000,3.708490,13.020304,2.281918,4.653046,4.118975,-4.699118,0.435992
0.020000,3.793977,13.060979,2.376588,4.733504,4.022880,-4.804758,0.452163
0.020000,3.880203,13.103725,2.472828,4.812011,3.925355,-4.876257,0.468259
0.020000,3.967093,13.148551,2.570599,4.888553,3.827096,-4.912972,0.484239
0.020000,4.054573,13.195458,2.669861,4.963128,3.728793,-4.915142,0.500063
0.020000,4.142574,13.244441,2.770576,5.035751,3.631114,-4.883940,0.515690
0.020000,4.231029,13.295490,2.872705,5.106444,3.534686,-4.821406,0.531082
0.020000,4.319876,13.348588,2.976210,5.175246,3.440079,-4.730363,0.546198
0.020000,4.409058,13.403714,3.081054,5.242202,3.347791,-4.614363,0.561003
0.020000,4.498522,13.460841,3.187202,5.307367,3.258242,-4.477486,0.575458
0.020000,4.588222,13.519935,3.294618,5.370802,3.171756,-4.324278,0.589528
0.020000,4.678116,13.580961,3.403269,5.432573,3.088565,-4.159533,0.603179
0.020000,4.768169,13.643878,3.513124,5.492749,3.008801,-3.988217,0.616379
0.020000,4.858352,13.708641,3.624152,5.551399,2.932496,-3.815235,0.629095
0.020000,4.948642,13.775202,3.736324,5.608591,2.859588,-3.645445,0.641299
0.020000,5.039021,13.843508,3.849612,5.664389,2.789919,-3.483429,0.652961
0.020000,5.129479,13.913505,3.963989,5.718854,2.723249,-3.333486,0.664055
0.020000,5.220009,13.985134,4.079430,5.772039,2.659257,-3.199598,0.674553
0.020000,5.310613,14.058335,4.195909,5.823990,2.597551,-3.085317,0.684431
0.020000,5.401298,14.133044,4.313404,5.874744,2.537674,-2.993868,0.693664
0.020000,5.492073,14.209195,4.431891,5.924326,2.479113,-2.928046,0.702228
0.020000,5.582956,14.286718,4.551346,5.972752,2.421306,-2.890346,0.710100
0.020000,5.673969,14.365540,4.671746,6.020025,2.363648,-2.882883,0.717255
0.020000,5.765138,14.445586,4.793069,6.066135,2.305497,-2.907566,0.723670
0.020000,5.856493,14.526779,4.915290,6.111059,2.246177,-2.966000,0.729320
0.020000,5.948071,14.609034,5.038385,6.154758,2.184984,-3.059624,0.734181
0.020000,6.039806,14.692171,5.162188,6.190132,1.768698,-20.814321,0.738222
0.020000,6.131537,14.775912,5.286394,6.210310,1.008902,-37.989766,0.741412
0.020000,6.223116,14.859976,5.410706,6.215607,0.264847,-37.202756,0.743728
0.020000,6.314401,14.944086,5.534833,6.206327,-0.464001,-36.442402,0.745150
0.020000,6.405258,15.027965,5.658488,6.182766,-1.178060,-35.702944,0.745668
0.020000,6.495471,15.111261,5.781275,6.139343,-2.171171,-49.655561,0.745276
0.020000,6.584831,15.193628,5.902805,6.076516,-3.141343,-48.508600,0.743978
0.020000,6.673216,15.274812,6.022816,6.000532,-3.799187,-32.892211,0.741785
0.020000,6.760502,15.354564,6.141050,5.911686,-4.442285,-32.154910,0.738715
0.020000,6.846564,15.432647,6.257255,5.810282,-5.070237,-31.397587,0.734791
0.020000,6.931274,15.508837,6.371188,5.696631,-5.682522,-30.614248,0.730042
0.020000,7.014583,15.582994,6.482722,5.576677,-5.997703,-15.759064,0.724500
0.020000,7.096533,15.655077,6.591862,5.457048,-5.981458,0.812262,0.718190
0.020000,7.177175,15.725057,6.698635,5.338609,-5.921934,2.976179,0.711136
0.020000,7.256550,15.792914,6.803061,5.221336,-5.863672,2.913113,0.703363
0.020000,7.334696,15.858629,6.905166,5.105216,-5.805992,2.883989,0.694894
0.020000,7.411645,15.922189,7.004971,4.990251,-5.748247,2.887241,0.685753
0.020000,7.487424,15.983585,7.102500,4.876454,-5.689827,2.921001,0.675963
0.020000,7.562055,16.042813,7.197777,4.763851,-5.630164,2.983184,0.665550
0.020000,7.635557,16.099871,7.290826,4.652476,-5.568737,3.071361,0.654538
0.020000,7.707944,16.154765,7.381674,4.542375,-5.505081,3.182762,0.642953
0.020000,7.779229,16.207503,7.470346,4.433599,-5.438796,3.314243,0.630823
0.020000,7.849418,16.258098,7.556870,4.326208,-5.369551,3.462279,0.618177
0.020000,7.918520,16.306567,7.641275,4.220266,-5.297092,3.622960,0.605043
0.020000,7.986537,16.352932,7.723592,4.115841,-5.221251,3.792022,0.591453
0.020000,8.053473,16.397218,7.803852,4.013002,-5.141953,3.964909,0.577440
0.020000,8.119327,16.439457,7.882089,3.911818,-5.059217,4.136815,0.563037
0.020000,8.184101,16.479681,7.958336,3.812354,-4.973161,4.302810,0.548280
0.020000,8.247792,16.517929,8.032629,3.714674,-4.884002,4.457947,0.533205
0.020000,8.310401,16.554242,8.105006,3.618833,-4.792054,4.597386,0.517850
0.020000,8.371923,16.588664,8.175503,3.524879,-4.697723,4.716550,0.502254
0.020000,8.432359,16.621242,8.244160,3.432849,-4.601498,4.811269,0.486456
0.020000,8.491705,16.652027,8.311016,3.342770,-4.503939,4.877926,0.470496
0.020000,8.549959,16.681071,8.376109,3.254657,-4.405667,4.913580,0.454415
0.020000,8.607120,16.708427,8.439479,3.168510,-4.307346,4.916079,0.438253
0.020000,8.663186,16.734153,8.501165,3.084317,-4.209663,4.884139,0.422049
0.020000,8.718155,16.758305,8.561206,3.002050,-4.113315,4.817380,0.405844
0.020000,8.772026,16.780941,8.619640,2.921670,-4.018989,4.716321,0.389676
0.020000,8.824797,16.802120,8.676502,2.843124,-3.927341,4.582404,0.373583
0.020000,8.876467,16.821901,8.731829,2.766344,-3.838985,4.417803,0.357601
0.020000,8.927034,16.840343,8.785654,2.691254,-3.754476,4.225469,0.341765
0.020000,8.976497,16.857504,8.838010,2.617768,-3.674298,4.008871,0.326107
0.020000,9.024854,16.873443,8.888925,2.545791,-3.598859,3.771965,0.310659
0.020000,9.072102,16.888218,8.938430,2.475222,-3.528481,3.518906,0.295449
0.020000,9.118239,16.901885,8.986549,2.405954,-3.463399,3.254077,0.280504
0.020000,9.163263,16.914500,9.033307,2.337878,-3.403764,2.981736,0.265848
0.020000,9.207170,16.926118,9.078724,2.270886,-3.349643,2.706049,0.251504
0.020000,9.249955,16.936793,9.122822,2.204865,-3.301024,2.430979,0.237492
0.020000,9.291616,16.946577,9.165616,2.139709,-3.257824,2.159991,0.223830
0.020000,9.332147,16.955521,9.207122,2.075311,-3.219899,1.896272,0.210532
0.020000,9.371544,16.963674,9.247353,2.011570,-3.187047,1.642574,0.197613
0.020000,9.409800,16.971085,9.286321,1.948389,-3.159026,1.401056,0.185084
0.020000,9.446911,16.977801,9.324035,1.885678,-3.135556,1.173519,0.172954
0.020000,9.482870,16.983866,9.360502,1.823351,-3.116330,0.961294,0.161232
0.020000,9.517671,16.989324,9.395728,1.761331,-3.101025,0.765253,0.149924
0.020000,9.551308,16.994218,9.429719,1.699545,-3.089305,0.585987,0.139034
0.020000,9.583774,16.998588,9.462478,1.637928,-3.080833,0.423607,0.128566
0.020000,9.615062,17.002473,9.494006,1.576423,-3.075272,0.278025,0.118523
0.020000,9.645166,17.005911,9.524306,1.514977,-3.072293,0.148974,0.108905
0.020000,9.674079,17.008938,9.553377,1.453545,-3.071577,0.035799,0.099712
0.020000,9.701794,17.011588,9.581218,1.392089,-3.072819,-0.062095,0.090946
0.020000,9.728306,17.013894,9.607830,1.330574,-3.075730,-0.145575,0.082603
0.020000,9.753607,17.015888,9.633209,1.268974,-3.080040,-0.215481,0.074683
0.020000,9.777691,17.017599,9.657355,1.207264,-3.085494,-0.272729,0.067182
0.020000,9.800553,17.019056,9.680263,1.145426,-3.091862,-0.318379,0.060100
0.020000,9.822188,17.020285,9.701932,1.083448,-3.098925,-0.353170,0.053432
0.020000,9.842588,17.021312,9.722359,1.021318,-3.106492,-0.378308,0.047175
0.020000,9.861750,17.022161,9.741539,0.959031,-3.114381,-0.394457,0.041327
0.020000,9.879668,17.022853,9.759471,0.896582,-3.122433,-0.402615,0.035884
0.020000,9.896338,17.023409,9.776150,0.833972,-3.130505,-0.403587,0.030842
0.020000,9.911756,17.023849,9.791574,0.771202,-3.138467,-0.398128,0.026199
0.020000,9.925918,17.024190,9.805740,0.708278,-3.146206,-0.386941,0.021951
0.020000,9.938819,17.024448,9.818644,0.645206,-3.153620,-0.370710,0.018095
0.020000,9.950457,17.024638,9.830284,0.581993,-3.160623,-0.350111,0.014629
0.020000,9.960830,17.024774,9.840657,0.518651,-3.167134,-0.325575,0.011549
0.020000,9.969933,17.024867,9.849761,0.455189,-3.173090,-0.297793,0.008853
0.020000,9.977765,17.024927,9.857593,0.391620,-3.178431,-0.267062,0.006540
0.020000,9.984324,17.024964,9.864152,0.327958,-3.183111,-0.233993,0.004606
0.020000,9.989608,17.024984,9.869437,0.264216,-3.187088,-0.198855,0.003051
0.020000,9.993617,17.024994,9.873445,0.200410,-3.190331,-0.162159,0.001873
0.020000,9.996440,17.024998,9.876268,0.141150,-2.963011,11.366010,0.001044
0.020000,9.998275,17.025000,9.878103,0.091779,-2.468510,24.725047,0.000506
0.020000,9.999336,17.025000,9.879164,0.053044,-1.936747,26.588155,0.000195
0.020000,9.999835,17.025000,9.879663,0.024955,-1.404484,26.613169,0.000048
0.020000,9.999985,17.025000,9.879814,0.007516,-0.871949,26.626715,0.000004
0.020000,10.000000,17.025000,9.879828,0.000730,-0.339302,26.632377,6.283185
0.020000,10.000000,17.025000,9.879828,0.000000,-0.036483,15.140929,6.283185
