dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500028,13.500000,0.000137,0.013699,0.684931,34.246535,0.000006
0.020000,1.500576,13.500000,0.000685,0.041096,1.369861,34.246535,0.000131
0.020000,1.501809,13.500000,0.001918,0.082192,2.054792,34.246535,0.000412
0.020000,1.504001,13.500002,0.004110,0.136986,2.739723,34.246535,0.000912
0.020000,1.507425,13.500006,0.007534,0.205479,3.424653,34.246535,0.001694
0.020000,1.512357,13.500017,0.012466,0.287671,4.109584,34.246535,0.002820
0.020000,1.518932,13.500041,0.019041,0.369863,4.109584,-0.000000,0.004324
0.020000,1.527151,13.500084,0.027260,0.452054,4.109584,0.000000,0.006205
0.020000,1.537014,13.500157,0.037123,0.534246,4.109584,0.000000,0.008467
0.020000,1.548520,13.500269,0.048630,0.616438,4.109584,0.000000,0.011110
0.020000,1.561670,13.500435,0.061781,0.698629,4.109584,-0.000000,0.014137
0.020000,1.576463,13.500670,0.076575,0.780821,4.109584,0.000000,0.017550
0.020000,1.592898,13.500989,0.093014,0.863013,4.109584,-0.000000,0.021352
0.020000,1.610975,13.501413,0.111096,0.945204,4.109584,0.000000,0.025546
0.020000,1.630693,13.501962,0.130822,1.027396,4.109584,0.000000,0.030135
0.020000,1.652052,13.502659,0.152192,1.109588,4.109584,-0.000000,0.035121
0.020000,1.675049,13.503529,0.175205,1.191779,4.109584,0.000000,0.040509
0.020000,1.699683,13.504599,0.199863,1.273971,4.109584,-0.000000,0.046302
0.020000,1.725952,13.505898,0.226164,1.356163,4.109584,0.000000,0.052502
0.020000,1.753854,13.507457,0.254109,1.438354,4.109584,0.000000,0.059113
0.020000,1.783385,13.509308,0.283698,1.520546,4.109584,-0.000000,0.066139
0.020000,1.814542,13.511489,0.314931,1.602738,4.109584,0.000000,0.073581
0.020000,1.847319,13.514034,0.347808,1.684930,4.109584,0.000000,0.081444
0.020000,1.881713,13.516985,0.382328,1.767121,4.109584,0.000000,0.089728
0.020000,1.917718,13.520382,0.418493,1.849313,4.109584,-0.000000,0.098437
0.020000,1.955325,13.524270,0.456301,1.931505,4.109584,0.000000,0.107570
0.020000,1.994529,13.528693,0.495753,2.013696,4.109584,-0.000000,0.117130
0.020000,2.035318,13.533699,0.536849,2.095888,4.109584,0.000000,0.127115
0.020000,2.077684,13.539338,0.579588,2.178080,4.109584,0.000000,0.137525
0.020000,2.121615,13.545660,0.623972,2.260271,4.109584,0.000000,0.148357
0.020000,2.167097,13.552719,0.669999,2.342463,4.109584,0.000000,0.159608
0.020000,2.214117,13.560570,0.717670,2.424655,4.109584,-0.000000,0.171274
0.020000,2.262659,13.569269,0.766985,2.506846,4.109584,0.000000,0.183348
0.020000,2.312704,13.578872,0.817944,2.589038,4.109584,-0.000000,0.195823
0.020000,2.364234,13.589439,0.870547,2.671230,4.109584,0.000000,0.208690
0.020000,2.417228,13.601029,0.924793,2.753421,4.109584,0.000000,0.221936
0.020000,2.471662,13.613702,0.980684,2.835613,4.109584,0.000000,0.235550
0.020000,2.527512,13.627520,1.038218,2.917805,4.109584,-0.000000,0.249515
0.020000,2.584751,13.642543,1.097396,2.999996,4.109584,0.000000,0.263815
0.020000,2.643350,13.658832,1.158218,3.082188,4.109584,0.000000,0.278429
0.020000,2.703280,13.676448,1.220683,3.164380,4.109584,0.000000,0.293336
