Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 0.000044, 4.980000, 0.000154, 0.015385, 0.769231, 38.461538, 0.000017, 
20, 0.000492, 4.980000, 0.000601, 0.022375, 0.349534, -20.984821, 0.000188, 
20, 0.001499, 4.980000, 0.001608, 0.050339, 1.398209, 52.433752, 0.000574, 
20, 0.003288, 4.980002, 0.003398, 0.089476, 1.956803, 27.929702, 0.001260, 
20, 0.006083, 4.980007, 0.006193, 0.139762, 2.514342, 27.876951, 0.002332, 
20, 0.010107, 4.980020, 0.010216, 0.201166, 3.070164, 27.791100, 0.003878, 
20, 0.015579, 4.980047, 0.015689, 0.273635, 3.623456, 27.664582, 0.005986, 
20, 0.022721, 4.980099, 0.022831, 0.357100, 4.173267, 27.490561, 0.008745, 
20, 0.031750, 4.980194, 0.031860, 0.451471, 4.718539, 27.263586, 0.012247, 
20, 0.042882, 4.980354, 0.042993, 0.556634, 5.258130, 26.979557, 0.016586, 
20, 0.056328, 4.980613, 0.056442, 0.672451, 5.790872, 26.637076, 0.021858, 
20, 0.072298, 4.981012, 0.072417, 0.798764, 6.315630, 26.237923, 0.028163, 
20, 0.090997, 4.981609, 0.091125, 0.935392, 6.831405, 25.788736, 0.035603, 
20, 0.112512, 4.982468, 0.112658, 1.076627, 7.061757, 11.517625, 0.044244, 
20, 0.136819, 4.983664, 0.136994, 1.216834, 7.010357, -2.570030, 0.054104, 
20, 0.163890, 4.985280, 0.164114, 1.355963, 6.956472, -2.694212, 0.065207, 
20, 0.193694, 4.987411, 0.193994, 1.494007, 6.902155, -2.715880, 0.077574, 
20, 0.226198, 4.990161, 0.226614, 1.631005, 6.849921, -2.611697, 0.091226, 
20, 0.261368, 4.993643, 0.261955, 1.767061, 6.802823, -2.354892, 0.106184, 
20, 0.299166, 4.997983, 0.300002, 1.902351, 6.764487, -1.916811, 0.122462, 
20, 0.339559, 5.003315, 0.340745, 2.037134, 6.739151, -1.266804, 0.140071, 
20, 0.382509, 5.009786, 0.384180, 2.171767, 6.731656, -0.374766, 0.159014, 
20, 0.427985, 5.017552, 0.430314, 2.306715, 6.747396, 0.787024, 0.179284, 
20, 0.475957, 5.026781, 0.479166, 2.442559, 6.792202, 2.240322, 0.200864, 
20, 0.526398, 5.037653, 0.530766, 2.580002, 6.872143, 3.997025, 0.223720, 
