Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 0.000015, 5.980000, 0.000079, 0.007895, 0.394737, 19.736842, 6.283181, 
20, 0.000451, 5.980000, 0.000515, 0.021813, 0.695932, 15.059768, 6.283058, 
20, 0.001433, 5.980000, 0.001497, 0.049083, 1.363478, 33.377270, 6.282781, 
20, 0.003178, 5.979999, 0.003242, 0.087268, 1.909263, 27.289288, 6.282289, 
20, 0.005906, 5.979995, 0.005970, 0.136381, 2.455654, 27.319542, 6.281520, 
20, 0.009835, 5.979986, 0.009899, 0.196442, 3.003032, 27.368897, 6.280411, 
20, 0.015184, 5.979967, 0.015248, 0.267479, 3.551870, 27.441888, 6.278900, 
20, 0.022175, 5.979931, 0.022239, 0.349534, 4.102728, 27.542917, 6.276922, 
20, 0.031028, 5.979864, 0.031092, 0.442659, 4.656245, 27.675828, 6.274414, 
20, 0.041966, 5.979751, 0.042031, 0.546921, 5.213127, 27.844130, 6.271308, 
20, 0.055213, 5.979569, 0.055279, 0.662404, 5.774137, 28.050457, 6.267537, 
20, 0.070994, 5.979286, 0.071063, 0.789205, 6.340069, 28.296605, 6.263031, 
20, 0.089538, 5.978863, 0.089612, 0.927440, 6.911723, 28.582717, 6.257718, 
20, 0.111074, 5.978248, 0.111156, 1.077237, 7.489869, 28.907303, 6.251523, 
20, 0.135834, 5.977375, 0.135931, 1.238741, 8.075188, 29.265939, 6.244368, 
20, 0.164050, 5.976164, 0.164173, 1.412105, 8.668213, 29.651253, 6.236173, 
20, 0.195957, 5.974514, 0.196123, 1.597490, 9.269223, 30.050496, 6.226852, 
20, 0.231790, 5.972304, 0.232024, 1.795053, 9.878138, 30.445769, 6.216319, 
20, 0.271782, 5.969388, 0.272123, 2.004939, 10.494345, 30.810350, 6.204483, 
20, 0.316055, 5.965603, 0.316557, 2.221694, 10.837748, 17.170150, 6.191285, 
20, 0.364499, 5.960783, 0.365240, 2.434150, 10.622794, -10.747687, 6.176732, 
20, 0.416885, 5.954765, 0.417970, 2.636526, 10.118767, -25.201368, 6.160868, 
20, 0.472971, 5.947382, 0.474540, 2.828504, 9.598926, -25.992067, 6.143744, 
20, 0.532501, 5.938471, 0.534734, 3.009692, 9.059407, -26.975945, 6.125420, 
20, 0.595204, 5.927870, 0.598327, 3.179627, 8.496747, -28.132997, 6.105963, 
20, 0.660790, 5.915428, 0.665083, 3.337789, 7.908096, -29.432526, 6.085454, 
20, 0.728954, 5.901009, 0.734755, 3.483618, 7.291450, -30.832337, 6.063982, 
20, 0.799374, 5.884493, 0.807086, 3.616536, 6.645880, -32.278458, 6.041651, 
20, 0.871714, 5.865785, 0.881805, 3.735971, 5.971742, -33.706909, 6.018574, 
20, 0.945624, 5.844814, 0.958633, 3.841387, 5.270819, -35.046182, 5.994875, 
20, 1.020748, 5.821542, 1.037279, 3.932315, 4.546383, -36.221784, 5.970691, 
20, 1.096725, 5.795961, 1.117447, 4.008378, 3.803151, -37.161614, 5.946162, 
20, 1.173194, 5.768100, 1.198833, 4.069320, 3.047105, -37.802274, 5.921437, 
20, 1.249800, 5.738020, 1.281133, 4.115024, 2.285208, -38.094878, 5.896666, 
20, 1.326202, 5.705819, 1.364044, 4.145524, 1.525010, -38.009863, 5.871996, 
20, 1.402072, 5.671624, 1.447264, 4.161008, 0.774204, -37.540320, 5.847575, 
20, 1.477107, 5.635595, 1.530500, 4.161811, 0.040158, -36.702317, 5.823541, 
20, 1.551024, 5.597913, 1.613468, 4.148401, -0.670507, -35.533249, 5.800021, 
20, 1.623571, 5.558783, 1.695895, 4.121356, -1.352263, -34.087774, 5.777135, 
20, 1.694615, 5.518371, 1.777629, 4.086691, -1.733237, -19.048721, 5.754956, 
20, 1.764136, 5.476793, 1.858634, 4.050234, -1.822882, -4.482225, 5.733521, 
20, 1.832123, 5.434165, 1.938880, 4.012315, -1.895935, -3.652660, 5.712860, 
20, 1.898579, 5.390595, 2.018345, 3.973251, -1.953197, -2.863108, 5.692996, 
20, 1.963516, 5.346192, 2.097012, 3.933336, -1.995739, -2.127098, 5.673947, 
20, 2.026954, 5.301056, 2.174869, 3.892840, -2.024826, -1.454358, 5.655725, 
20, 2.088921, 5.255282, 2.251909, 3.852003, -2.041847, -0.851057, 5.638336, 
20, 2.149452, 5.208962, 2.328130, 3.811038, -2.048252, -0.320249, 5.621783, 
20, 2.208587, 5.162178, 2.403532, 3.770128, -2.045498, 0.137714, 5.606066, 
20, 2.266367, 5.115010, 2.478121, 3.729427, -2.035008, 0.524519, 5.591179, 
20, 2.322841, 5.067530, 2.551902, 3.689065, -2.018137, 0.843548, 5.577116, 
20, 2.378058, 5.019805, 2.624885, 3.649142, -1.996152, 1.099241, 5.563867, 
20, 2.432067, 4.971898, 2.697080, 3.609737, -1.970216, 1.296784, 5.551423, 
20, 2.484921, 4.923866, 2.768498, 3.570910, -1.941381, 1.441761, 5.539771, 
20, 2.536670, 4.875763, 2.839152, 3.532698, -1.910585, 1.539791, 5.528900, 
20, 2.587367, 4.827636, 2.909054, 3.495125, -1.878656, 1.596442, 5.518795, 
20, 2.637063, 4.779532, 2.978218, 3.458199, -1.846316, 1.617011, 5.509444, 
20, 2.685808, 4.731494, 3.046657, 3.421915, -1.814188, 1.606395, 5.500833, 
20, 2.733651, 4.683559, 3.114382, 3.386259, -1.782806, 1.569124, 5.492950, 
20, 2.780641, 4.635766, 3.181406, 3.351206, -1.752621, 1.509245, 5.485782, 
20, 2.826824, 4.588149, 3.247740, 3.316726, -1.724014, 1.430360, 5.479318, 
20, 2.872246, 4.540740, 3.313396, 3.282780, -1.697301, 1.335645, 5.473547, 
20, 2.916948, 4.493571, 3.378382, 3.249325, -1.672744, 1.227833, 5.468459, 
20, 2.960975, 4.446672, 3.442709, 3.216314, -1.650558, 1.109318, 5.464044, 
20, 3.004365, 4.400071, 3.506383, 3.183696, -1.630915, 0.982112, 5.460295, 
20, 3.047157, 4.353795, 3.569411, 3.151417, -1.613956, 0.847963, 5.457205, 
20, 3.089388, 4.307873, 3.631799, 3.119421, -1.599790, 0.708331, 5.454768, 
20, 3.131092, 4.262330, 3.693552, 3.087651, -1.588500, 0.564480, 5.452979, 
20, 3.172304, 4.217193, 3.754673, 3.056048, -1.580150, 0.417485, 5.451835, 
20, 3.213054, 4.172487, 3.815164, 3.024552, -1.574785, 0.268288, 5.451334, 
20, 3.253372, 4.128239, 3.875026, 2.993103, -1.572430, 0.117727, 5.451475, 
20, 3.293287, 4.084474, 3.934259, 2.961642, -1.573098, -0.033420, 5.452258, 
20, 3.332824, 4.041219, 3.992861, 2.930106, -1.576787, -0.184406, 5.453684, 
20, 3.372009, 3.998500, 4.050830, 2.898436, -1.583476, -0.334473, 5.455757, 
20, 3.410865, 3.956344, 4.108162, 2.866574, -1.593132, -0.482824, 5.458480, 
20, 3.449412, 3.914777, 4.164851, 2.834460, -1.605704, -0.628578, 5.461858, 
20, 3.487670, 3.873827, 4.220892, 2.802037, -1.621119, -0.770738, 5.465898, 
20, 3.525657, 3.833522, 4.276277, 2.769252, -1.639282, -0.908152, 5.470607, 
20, 3.563389, 3.793891, 4.330998, 2.736050, -1.660071, -1.039482, 5.475994, 
20, 3.600880, 3.754961, 4.385045, 2.702383, -1.683334, -1.163131, 5.482068, 
20, 3.638144, 3.716762, 4.438409, 2.668206, -1.708879, -1.277254, 5.488839, 
20, 3.675190, 3.679323, 4.491079, 2.633476, -1.736473, -1.379668, 5.496319, 
20, 3.712027, 3.642673, 4.543042, 2.598160, -1.765829, -1.467842, 5.504520, 
20, 3.748664, 3.606843, 4.594287, 2.562228, -1.796606, -1.538842, 5.513454, 
20, 3.785104, 3.571862, 4.644800, 2.525660, -1.828393, -1.589315, 5.523134, 
20, 3.821353, 3.537760, 4.694569, 2.488446, -1.860702, -1.615456, 5.533573, 
20, 3.857411, 3.504564, 4.743580, 2.450587, -1.892962, -1.613013, 5.544786, 
20, 3.893280, 3.472304, 4.791822, 2.412096, -1.924508, -1.577281, 5.556783, 
20, 3.928958, 3.441006, 4.839283, 2.373005, -1.954571, -1.503171, 5.569579, 
20, 3.964443, 3.410697, 4.885950, 2.333359, -1.982276, -1.385269, 5.583183, 
20, 3.999731, 3.381401, 4.931814, 2.293227, -2.006635, -1.217936, 5.597607, 
20, 4.034819, 3.353140, 4.976868, 2.252696, -2.026546, -0.995550, 5.612858, 
20, 4.069702, 3.325934, 5.021106, 2.211880, -2.040799, -0.712662, 5.628941, 
20, 4.104374, 3.299800, 5.064524, 2.170918, -2.048086, -0.364351, 5.645861, 
20, 4.138833, 3.274753, 5.107124, 2.129978, -2.047018, 0.053407, 5.663616, 
20, 4.173073, 3.250803, 5.148909, 2.089255, -2.036152, 0.543314, 5.682202, 
20, 4.207093, 3.227957, 5.189888, 2.048974, -2.014027, 1.106239, 5.701610, 
20, 4.240893, 3.206217, 5.230076, 2.009390, -1.979213, 1.740707, 5.721826, 
20, 4.274476, 3.185583, 5.269492, 1.970783, -1.930366, 2.442356, 5.742829, 
20, 4.307848, 3.166049, 5.308161, 1.933457, -1.866296, 3.203499, 5.764595, 
20, 4.341020, 3.147605, 5.346116, 1.897736, -1.786041, 4.012758, 5.787089, 
20, 4.373988, 3.130248, 5.383373, 1.862888, -1.742403, 2.181873, 5.810259, 
20, 4.406711, 3.113990, 5.419912, 1.826933, -1.797724, -2.766056, 5.834012, 
20, 4.439128, 3.098842, 5.455694, 1.789089, -1.892205, -4.724022, 5.858224, 
20, 4.471186, 3.084803, 5.490692, 1.749888, -1.960060, -3.392775, 5.882762, 
20, 4.502838, 3.071862, 5.524886, 1.709741, -2.007333, -2.363627, 5.907486, 
20, 4.534037, 3.059998, 5.558265, 1.668921, -2.041017, -1.684225, 5.932246, 
20, 4.564739, 3.049184, 5.590816, 1.627547, -2.068677, -1.382972, 5.956894, 
20, 4.594899, 3.039386, 5.622527, 1.585588, -2.097995, -1.465926, 5.981280, 
20, 4.624468, 3.030564, 5.653385, 1.542861, -2.136314, -1.915956, 6.005258, 
20, 4.653393, 3.022676, 5.683366, 1.499057, -2.190207, -2.694617, 6.028691, 
20, 4.681613, 3.015677, 5.712441, 1.453755, -2.265125, -3.745922, 6.051446, 
20, 4.709060, 3.009518, 5.740570, 1.406451, -2.365164, -5.001941, 6.073405, 
20, 4.735655, 3.004148, 5.767702, 1.356593, -2.492940, -6.388790, 6.094457, 
20, 4.761312, 2.999514, 5.793774, 1.303601, -2.649595, -7.832776, 6.114506, 
20, 4.785934, 2.995561, 5.818712, 1.246903, -2.834899, -9.265191, 6.133466, 
20, 4.809419, 2.992233, 5.842431, 1.185954, -3.047424, -10.626263, 6.151263, 
20, 4.831653, 2.989470, 5.864836, 1.120259, -3.284766, -11.867094, 6.167833, 
20, 4.852519, 2.987214, 5.885824, 1.049383, -3.543779, -12.950616, 6.183120, 
20, 4.871894, 2.985406, 5.905283, 0.972967, -3.820799, -13.851001, 6.197076, 
