Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 0.000030, 4.975000, 0.000080, 0.008000, 0.400000, 20.000000, 0.000000, 
20, 0.000350, 4.975000, 0.000400, 0.016000, 0.400000, 0.000000, 0.000000, 
20, 0.001070, 4.975000, 0.001120, 0.036000, 1.000000, 30.000000, 0.000000, 
20, 0.002350, 4.975000, 0.002400, 0.064000, 1.400000, 20.000000, 0.000000, 
20, 0.004350, 4.975000, 0.004400, 0.100000, 1.800000, 20.000000, 0.000000, 
20, 0.007230, 4.975000, 0.007280, 0.144000, 2.200000, 20.000000, 0.000000, 
20, 0.011150, 4.975000, 0.011200, 0.196000, 2.600000, 20.000000, 0.000000, 
20, 0.016270, 4.975000, 0.016320, 0.256000, 3.000000, 20.000000, 0.000000, 
20, 0.022750, 4.975000, 0.022800, 0.324000, 3.400000, 20.000000, 0.000000, 
20, 0.030750, 4.975000, 0.030800, 0.400000, 3.800000, 20.000000, 0.000000, 
20, 0.040430, 4.975000, 0.040480, 0.484000, 4.200000, 20.000000, 0.000000, 
20, 0.051950, 4.975000, 0.052000, 0.576000, 4.600000, 20.000000, 0.000000, 
20, 0.065470, 4.975000, 0.065520, 0.676000, 5.000000, 20.000000, 0.000000, 
20, 0.081150, 4.975000, 0.081200, 0.784000, 5.400000, 20.000000, 0.000000, 
20, 0.099150, 4.975000, 0.099200, 0.900000, 5.800000, 20.000000, 0.000000, 
20, 0.119630, 4.975000, 0.119680, 1.024000, 6.200000, 20.000000, 0.000000, 
20, 0.142750, 4.975000, 0.142800, 1.156000, 6.600000, 20.000000, 0.000000, 
20, 0.168670, 4.975000, 0.168720, 1.296000, 7.000000, 20.000000, 0.000000, 
20, 0.197550, 4.975000, 0.197600, 1.444000, 7.400000, 20.000000, 0.000000, 
20, 0.229550, 4.975000, 0.229600, 1.600000, 7.800000, 20.000000, 0.000000, 
20, 0.264750, 4.975000, 0.264800, 1.760000, 8.000000, 10.000000, 0.000000, 
20, 0.303150, 4.975000, 0.303200, 1.920000, 8.000000, 0.000000, 0.000000, 
20, 0.344750, 4.975000, 0.344800, 2.080000, 8.000000, 0.000000, 0.000000, 
20, 0.389550, 4.975000, 0.389600, 2.240000, 8.000000, -0.000000, 0.000000, 
20, 0.437550, 4.975000, 0.437600, 2.400000, 8.000000, -0.000000, 0.000000, 
20, 0.488670, 4.975000, 0.488720, 2.556000, 7.800000, -10.000000, 0.000000, 
20, 0.542750, 4.975000, 0.542800, 2.704000, 7.400000, -20.000000, 0.000000, 
20, 0.599630, 4.975000, 0.599680, 2.844000, 7.000000, -20.000000, 0.000000, 
20, 0.659150, 4.975000, 0.659200, 2.976000, 6.600000, -20.000000, 0.000000, 
20, 0.721150, 4.975000, 0.721200, 3.100000, 6.200000, -20.000000, 0.000000, 
20, 0.785470, 4.975000, 0.785520, 3.216000, 5.800000, -20.000000, 0.000000, 
20, 0.851950, 4.975000, 0.852000, 3.324000, 5.400000, -20.000000, 0.000000, 
20, 0.920430, 4.975000, 0.920480, 3.424000, 5.000000, -20.000000, 0.000000, 
20, 0.990750, 4.975000, 0.990800, 3.516000, 4.600000, -20.000000, 0.000000, 
20, 1.062750, 4.975000, 1.062800, 3.600000, 4.200000, -20.000000, 0.000000, 
20, 1.136270, 4.975000, 1.136320, 3.676000, 3.800000, -20.000000, 0.000000, 
20, 1.211150, 4.975000, 1.211200, 3.744000, 3.400000, -20.000000, 0.000000, 
20, 1.287230, 4.975000, 1.287280, 3.804000, 3.000000, -20.000000, 0.000000, 
20, 1.364350, 4.975000, 1.364400, 3.856000, 2.600000, -20.000000, 0.000000, 
20, 1.442350, 4.975000, 1.442400, 3.900000, 2.200000, -20.000000, 0.000000, 
20, 1.521070, 4.975000, 1.521120, 3.936000, 1.800000, -20.000000, 0.000000, 
20, 1.600350, 4.975000, 1.600400, 3.964000, 1.400000, -20.000000, 0.000000, 
20, 1.680030, 4.975000, 1.680080, 3.984000, 1.000000, -20.000000, 0.000000, 
20, 1.759950, 4.975000, 1.760000, 3.996000, 0.600000, -20.000000, 0.000000, 
20, 1.839950, 4.975000, 1.840000, 4.000000, 0.200000, -20.000000, 0.000000, 
20, 1.919950, 4.975000, 1.920000, 4.000000, 0.000000, -10.000000, 0.000000, 
20, 1.999950, 4.975000, 2.000000, 4.000000, 0.000000, -0.000000, 0.000000, 
20, 2.079950, 4.975000, 2.080000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 2.159950, 4.975000, 2.160000, 4.000000, -0.000000, -0.000000, 0.000000, 
20, 2.239950, 4.975000, 2.240000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 2.319950, 4.975000, 2.320000, 4.000000, 0.000000, -0.000000, 0.000000, 
20, 2.399950, 4.975000, 2.400000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 2.479950, 4.975000, 2.480000, 4.000000, -0.000000, -0.000000, 0.000000, 
20, 2.559950, 4.975000, 2.560000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 2.639950, 4.975000, 2.640000, 4.000000, 0.000000, -0.000000, 0.000000, 
20, 2.719950, 4.975000, 2.720000, 4.000000, 0.000000, -0.000000, 0.000000, 
20, 2.799950, 4.975000, 2.800000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 2.879950, 4.975000, 2.880000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 2.959950, 4.975000, 2.960000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 3.039950, 4.975000, 3.040000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 3.119950, 4.975000, 3.120000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 3.199950, 4.975000, 3.200000, 4.000000, 0.000000, 0.000000, 0.000000, 
20, 3.279910, 4.975000, 3.279960, 3.998003, -0.099875, -4.993750, 0.000000, 
20, 3.359710, 4.975000, 3.359760, 3.990008, -0.399750, -14.993750, 0.000000, 
20, 3.439190, 4.975000, 3.439240, 3.974013, -0.799750, -20.000000, 0.000000, 
20, 3.518191, 4.975000, 3.518241, 3.950018, -1.199750, -20.000000, 0.000000, 
20, 3.596551, 4.975000, 3.596601, 3.918023, -1.599750, -20.000000, 0.000000, 
20, 3.674112, 4.975000, 3.674162, 3.878028, -1.999750, -20.000000, 0.000000, 
20, 3.750712, 4.975000, 3.750762, 3.830033, -2.399750, -20.000000, 0.000000, 
20, 3.826193, 4.975000, 3.826243, 3.774038, -2.799750, -20.000000, 0.000000, 
20, 3.900394, 4.975000, 3.900444, 3.710043, -3.199750, -20.000000, 0.000000, 
20, 3.973155, 4.975000, 3.973205, 3.638048, -3.599750, -20.000000, 0.000000, 
20, 4.044316, 4.975000, 4.044366, 3.558053, -3.999750, -20.000000, 0.000000, 
20, 4.113717, 4.975000, 4.113767, 3.470058, -4.399750, -20.000000, 0.000000, 
20, 4.181198, 4.975000, 4.181248, 3.374063, -4.799750, -20.000000, 0.000000, 
