Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 0.000005, 14.480000, 0.000020, 0.001961, 0.098039, 4.901961, 6.283180, 
20, 0.000009, 14.480000, 0.000023, 0.000172, -0.089453, -9.374627, 0.000001, 
20, 0.000172, 14.480000, 0.000186, 0.008165, 0.399656, 24.455486, 0.000014, 
20, 0.000462, 14.480000, 0.000477, 0.014515, 0.317525, -4.106587, 0.000038, 
20, 0.000916, 14.480000, 0.000930, 0.022680, 0.408251, 4.536328, 0.000075, 
20, 0.001569, 14.480000, 0.001583, 0.032660, 0.498984, 4.536624, 0.000129, 
20, 0.002458, 14.480000, 0.002473, 0.044455, 0.589725, 4.537060, 0.000202, 
20, 0.003619, 14.480001, 0.003634, 0.058064, 0.680478, 4.537669, 0.000298, 
20, 0.005089, 14.480001, 0.005104, 0.073489, 0.771248, 4.538479, 0.000419, 
20, 0.006904, 14.480002, 0.006918, 0.090730, 0.862038, 4.539519, 0.000568, 
20, 0.009099, 14.480003, 0.009114, 0.109787, 0.952855, 4.540817, 0.000748, 
20, 0.011713, 14.480006, 0.011727, 0.130661, 1.043703, 4.542403, 0.000963, 
20, 0.014780, 14.480009, 0.014794, 0.153353, 1.134589, 4.544307, 0.001215, 
20, 0.018337, 14.480014, 0.018351, 0.177863, 1.225520, 4.546564, 0.001506, 
20, 0.022421, 14.480021, 0.022435, 0.204193, 1.316504, 4.549190, 0.001841, 
20, 0.027068, 14.480030, 0.027082, 0.232344, 1.407549, 4.552236, 0.002221, 
20, 0.032314, 14.480043, 0.032329, 0.262317, 1.498663, 4.555712, 0.002650, 
20, 0.038196, 14.480060, 0.038211, 0.294115, 1.589856, 4.559668, 0.003130, 
20, 0.044751, 14.480082, 0.044766, 0.327737, 1.681139, 4.564129, 0.003665, 
20, 0.052015, 14.480111, 0.052029, 0.363188, 1.772521, 4.569123, 0.004256, 
20, 0.060024, 14.480148, 0.060039, 0.400468, 1.864015, 4.574696, 0.004907, 
20, 0.068816, 14.480194, 0.068830, 0.439581, 1.955633, 4.580873, 0.005620, 
