dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500035,4.975000,0.000150,0.015000,0.750000,37.500000,0.000000
0.020000,1.500635,4.975000,0.000750,0.030000,0.750000,-0.000000,0.000000
0.020000,1.501985,4.975000,0.002100,0.067500,1.875000,56.250000,0.000000
0.020000,1.504385,4.975000,0.004500,0.120000,2.625000,37.500000,0.000000
0.020000,1.508135,4.975000,0.008250,0.187500,3.375000,37.500000,0.000000
0.020000,1.513535,4.975000,0.013650,0.270000,4.125000,37.500000,0.000000
0.020000,1.520885,4.975000,0.021000,0.367500,4.875000,37.500000,0.000000
0.020000,1.530485,4.975000,0.030600,0.480000,5.625000,37.500000,0.000000
0.020000,1.542485,4.975000,0.042600,0.600000,6.000000,18.750000,0.000000
0.020000,1.556885,4.975000,0.057000,0.720000,6.000000,0.000000,0.000000
0.020000,1.573685,4.975000,0.073800,0.840000,6.000000,0.000000,0.000000
0.020000,1.592885,4.975000,0.093000,0.960000,6.000000,-0.000000,0.000000
0.020000,1.614485,4.975000,0.114600,1.080000,6.000000,0.000000,0.000000
0.020000,1.638485,4.975000,0.138600,1.200000,6.000000,-0.000000,0.000000
0.020000,1.664885,4.975000,0.165000,1.320000,6.000000,0.000000,0.000000
0.020000,1.693685,4.975000,0.193800,1.440000,6.000000,-0.000000,0.000000
0.020000,1.724885,4.975000,0.225000,1.560000,6.000000,0.000000,0.000000
0.020000,1.758485,4.975000,0.258600,1.680000,6.000000,-0.000000,0.000000
0.020000,1.794485,4.975000,0.294600,1.800000,6.000000,0.000000,0.000000
0.020000,1.832885,4.975000,0.333000,1.920000,6.000000,-0.000000,0.000000
0.020000,1.873685,4.975000,0.373800,2.040000,6.000000,-0.000000,0.000000
0.020000,1.916885,4.975000,0.417000,2.160000,6.000000,-0.000000,0.000000
0.020000,1.962485,4.975000,0.462600,2.280000,6.000000,0.000000,0.000000
0.020000,2.010485,4.975000,0.510600,2.400000,6.000000,-0.000000,0.000000
0.020000,2.060885,4.975000,0.561000,2.520000,6.000000,0.000000,0.000000
0.020000,2.113685,4.975000,0.613800,2.640000,6.000000,0.000000,0.000000
0.020000,2.168885,4.975000,0.669000,2.760000,6.000000,-0.000000,0.000000
0.020000,2.226485,4.975000,0.726600,2.880000,6.000000,0.000000,0.000000
0.020000,2.286485,4.975000,0.786600,3.000000,6.000000,0.000000,0.000000
0.020000,2.348885,4.975000,0.849000,3.120000,6.000000,-0.000000,0.000000
0.020000,2.413685,4.975000,0.913800,3.240000,6.000000,0.000000,0.000000
0.020000,2.480885,4.975000,0.981000,3.360000,6.000000,-0.000000,0.000000
0.020000,2.550485,4.975000,1.050600,3.480000,6.000000,0.000000,0.000000
0.020000,2.622485,4.975000,1.122600,3.600000,6.000000,0.000000,0.000000
0.020000,2.696885,4.975000,1.197000,3.720000,6.000000,-0.000000,0.000000
0.020000,2.773685,4.975000,1.273800,3.840000,6.000000,0.000000,0.000000
0.020000,2.852885,4.975000,1.353000,3.960000,6.000000,0.000000,0.000000
