dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000021,14.475000,0.000004,0.000392,0.019608,0.980392,6.283164
0.020000,0.000018,14.475000,0.000007,0.000143,-0.012469,-1.603817,6.283167
0.020000,0.000012,14.475000,0.000013,0.000321,0.008924,1.069634,6.283173
0.020000,0.000000,14.475000,0.000025,0.000571,0.012494,0.178484,6.283185
0.020000,0.000078,14.475000,0.000102,0.003879,0.165412,7.645932,0.000018
0.020000,0.000194,14.475000,0.000218,0.005774,0.094716,-3.534814,0.000044
0.020000,0.000351,14.475000,0.000375,0.007859,0.104247,0.476539,0.000080
0.020000,0.000556,14.475000,0.000580,0.010264,0.120283,0.801805,0.000127
0.020000,0.000816,14.475000,0.000840,0.012991,0.136320,0.801822,0.000186
0.020000,0.001137,14.475000,0.001161,0.016038,0.152355,0.801767,0.000259
0.020000,0.001525,14.475000,0.001549,0.019406,0.168389,0.801704,0.000348
0.020000,0.001987,14.475000,0.002011,0.023094,0.184422,0.801640,0.000454
0.020000,0.002529,14.475001,0.002553,0.027103,0.200453,0.801579,0.000577
0.020000,0.003157,14.475001,0.003181,0.031433,0.216482,0.801454,0.000721
0.020000,0.003879,14.475002,0.003903,0.036083,0.232510,0.801390,0.000886
0.020000,0.004700,14.475003,0.004724,0.041054,0.248534,0.801209,0.001073
0.020000,0.005627,14.475004,0.005651,0.046345,0.264557,0.801120,0.001285
0.020000,0.006666,14.475005,0.006690,0.051956,0.280575,0.800931,0.001522
0.020000,0.007824,14.475007,0.007848,0.057888,0.296591,0.800770,0.001787
0.020000,0.009107,14.475009,0.009131,0.064140,0.312602,0.800551,0.002080
0.020000,0.010521,14.475013,0.010545,0.070712,0.328609,0.800340,0.002403
0.020000,0.012073,14.475017,0.012097,0.077605,0.344611,0.800136,0.002758
0.020000,0.013769,14.475022,0.013793,0.084817,0.360608,0.799818,0.003146
0.020000,0.015616,14.475028,0.015640,0.092349,0.376599,0.799570,0.003568
0.020000,0.017620,14.475035,0.017644,0.100200,0.392584,0.799267,0.004027
0.020000,0.019788,14.475045,0.019812,0.108372,0.408563,0.798907,0.004523
0.020000,0.022125,14.475056,0.022149,0.116862,0.424534,0.798579,0.005058
0.020000,0.024638,14.475069,0.024663,0.125672,0.440498,0.798203,0.005633
0.020000,0.027334,14.475085,0.027359,0.134801,0.456455,0.797819,0.006251
