dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000021,12.525000,0.000004,0.000392,0.019608,0.980392,6.283164
0.020000,-0.000018,12.525000,0.000007,0.000143,-0.012469,-1.603817,6.283167
0.020000,-0.000012,12.525000,0.000013,0.000321,0.008924,1.069634,6.283173
0.020000,-0.000000,12.525000,0.000025,0.000571,0.012494,0.178484,6.283185
0.020000,0.000113,12.525000,0.000138,0.005664,0.254655,12.108041,0.000018
0.020000,0.000280,12.525000,0.000305,0.008344,0.133984,-6.033540,0.000044
0.020000,0.000507,12.525000,0.000532,0.011357,0.150656,0.833608,0.000080
0.020000,0.000804,12.525000,0.000829,0.014834,0.173834,1.158891,0.000127
0.020000,0.001179,12.525000,0.001204,0.018774,0.197014,1.158998,0.000186
0.020000,0.001643,12.525000,0.001668,0.023178,0.220194,1.159026,0.000259
0.020000,0.002203,12.525000,0.002229,0.028045,0.243376,1.159066,0.000348
0.020000,0.002871,12.525001,0.002896,0.033377,0.266558,1.159135,0.000454
0.020000,0.003654,12.525001,0.003680,0.039171,0.289743,1.159240,0.000577
0.020000,0.004563,12.525002,0.004588,0.045430,0.312929,1.159286,0.000721
0.020000,0.005606,12.525002,0.005631,0.052152,0.336118,1.159458,0.000886
0.020000,0.006793,12.525004,0.006818,0.059339,0.359308,1.159499,0.001073
0.020000,0.008133,12.525005,0.008158,0.066989,0.382502,1.159716,0.001285
0.020000,0.009635,12.525007,0.009660,0.075103,0.405699,1.159833,0.001522
0.020000,0.011308,12.525010,0.011333,0.083681,0.428900,1.160035,0.001787
0.020000,0.013163,12.525014,0.013188,0.092723,0.452104,1.160203,0.002080
0.020000,0.015207,12.525018,0.015232,0.102229,0.475312,1.160431,0.002403
0.020000,0.017451,12.525024,0.017476,0.112199,0.498527,1.160721,0.002758
0.020000,0.019904,12.525031,0.019929,0.122634,0.521745,1.160901,0.003146
0.020000,0.022575,12.525040,0.022600,0.133534,0.544970,1.161236,0.003568
0.020000,0.025473,12.525051,0.025498,0.144898,0.568200,1.161545,0.004027
0.020000,0.028607,12.525065,0.028632,0.156726,0.591437,1.161829,0.004523
0.020000,0.031987,12.525081,0.032013,0.169020,0.614681,1.162214,0.005058
0.020000,0.035623,12.525100,0.035648,0.181779,0.637933,1.162587,0.005633
0.020000,0.039523,12.525123,0.039548,0.195003,0.661193,1.163003,0.006251
0.020000,0.043697,12.525151,0.043722,0.208692,0.684460,1.163361,0.006912
0.020000,0.048153,12.525183,0.048179,0.222847,0.707738,1.163872,0.007618
0.020000,0.052903,12.525221,0.052928,0.237467,0.731023,1.164286,0.008370
0.020000,0.057954,12.525266,0.057979,0.252553,0.754319,1.164799,0.009171
0.020000,0.063315,12.525317,0.063342,0.268106,0.777625,1.165270,0.010021
0.020000,0.068993,12.525376,0.069019,0.283893,0.789344,0.585959,0.010921
0.020000,0.074986,12.525445,0.075013,0.299682,0.789473,0.006427,0.011872
0.020000,0.081295,12.525523,0.081323,0.315474,0.789607,0.006701,0.012873
0.020000,0.087920,12.525612,0.087948,0.331269,0.789745,0.006901,0.013925
0.020000,0.094861,12.525712,0.094889,0.347067,0.789888,0.007146,0.015027
0.020000,0.102117,12.525825,0.102147,0.362868,0.790034,0.007302,0.016180
0.020000,0.109689,12.525952,0.109720,0.378671,0.790183,0.007478,0.017383
0.020000,0.117578,12.526094,0.117610,0.394478,0.790336,0.007630,0.018637
0.020000,0.125782,12.526253,0.125815,0.410288,0.790491,0.007763,0.019942
0.020000,0.134302,12.526428,0.134337,0.426101,0.790647,0.007821,0.021298
0.020000,0.143138,12.526623,0.143176,0.441917,0.790806,0.007917,0.022705
0.020000,0.152291,12.526837,0.152330,0.457736,0.790965,0.007945,0.024163
0.020000,0.161759,12.527073,0.161802,0.473559,0.791124,0.007964,0.025672
0.020000,0.171543,12.527332,0.171589,0.489384,0.791283,0.007931,0.027232
0.020000,0.181643,12.527616,0.181694,0.505213,0.791441,0.007898,0.028843
0.020000,0.192060,12.527925,0.192114,0.521045,0.791597,0.007824,0.030506
0.020000,0.202792,12.528261,0.202852,0.536880,0.791751,0.007676,0.032219
0.020000,0.213840,12.528627,0.213906,0.552718,0.791901,0.007513,0.033985
0.020000,0.225205,12.529024,0.225278,0.568559,0.792048,0.007364,0.035801
0.020000,0.236885,12.529453,0.236966,0.584403,0.792190,0.007107,0.037669
0.020000,0.248881,12.529917,0.248971,0.600249,0.792327,0.006842,0.039589
0.020000,0.261193,12.530417,0.261293,0.616099,0.792458,0.006533,0.041560
0.020000,0.273820,12.530955,0.273932,0.631950,0.792581,0.006178,0.043583
0.020000,0.286763,12.531533,0.286888,0.647804,0.792697,0.005776,0.045658
0.020000,0.300022,12.532152,0.300161,0.663660,0.792804,0.005338,0.047784
0.020000,0.313596,12.532816,0.313751,0.679518,0.792900,0.004844,0.049962
0.020000,0.327486,12.533526,0.327659,0.695378,0.792986,0.004298,0.052192
0.020000,0.341690,12.534285,0.341884,0.711239,0.793061,0.003717,0.054474
0.020000,0.356210,12.535093,0.356426,0.727102,0.793122,0.003062,0.056808
0.020000,0.371044,12.535955,0.371285,0.742965,0.793170,0.002388,0.059193
0.020000,0.386193,12.536871,0.386462,0.758829,0.793202,0.001605,0.061631
0.020000,0.401656,12.537845,0.401955,0.774693,0.793218,0.000822,0.064120
0.020000,0.417434,12.538878,0.417767,0.790558,0.793217,-0.000049,0.066662
0.020000,0.433525,12.539973,0.433895,0.806422,0.793198,-0.000958,0.069255
0.020000,0.449929,12.541133,0.450341,0.822285,0.793158,-0.001995,0.071900
0.020000,0.466647,12.542359,0.467104,0.838147,0.793099,-0.002969,0.074597
0.020000,0.483678,12.543656,0.484184,0.854007,0.793016,-0.004132,0.077346
0.020000,0.501022,12.545024,0.501581,0.869865,0.792910,-0.005297,0.080147
0.020000,0.518677,12.546468,0.519296,0.885721,0.792779,-0.006544,0.082999
0.020000,0.536644,12.547989,0.537327,0.901573,0.792623,-0.007811,0.085903
0.020000,0.554923,12.549590,0.555675,0.917422,0.792438,-0.009258,0.088859
0.020000,0.573512,12.551274,0.574341,0.933267,0.792225,-0.010641,0.091866
0.020000,0.592411,12.553045,0.593323,0.949106,0.791981,-0.012211,0.094925
0.020000,0.611621,12.554904,0.612622,0.964940,0.791705,-0.013788,0.098034
0.020000,0.631139,12.556854,0.632237,0.980768,0.791397,-0.015417,0.101196
0.020000,0.650965,12.558900,0.652169,0.996589,0.791053,-0.017182,0.104408
0.020000,0.671100,12.561043,0.672417,1.012403,0.790673,-0.019029,0.107671
0.020000,0.691541,12.563287,0.692981,1.028208,0.790255,-0.020866,0.110984
0.020000,0.712289,12.565634,0.713861,1.044004,0.789798,-0.022852,0.114349
