dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000019,4.975000,0.000004,0.000399,0.019933,0.996631,0.000019
0.020000,-0.000013,4.975000,0.000010,0.000277,-0.006067,-1.300003,0.000014
0.020000,-0.000001,4.975000,0.000022,0.000624,0.017331,1.169943,0.000001
0.020000,0.000083,4.975000,0.000106,0.004189,0.178253,8.046101,6.283163
0.020000,0.000217,4.975000,0.000240,0.006716,0.126366,-2.594386,6.283128
0.020000,0.000411,4.975000,0.000434,0.009672,0.147760,1.069718,6.283077
0.020000,0.000674,4.975000,0.000697,0.013164,0.174627,1.343347,6.283007
0.020000,0.001018,4.975000,0.001041,0.017194,0.201495,1.343379,6.282916
0.020000,0.001453,4.975000,0.001476,0.021761,0.228364,1.343483,6.282801
0.020000,0.001990,4.974999,0.002013,0.026866,0.255234,1.343511,6.282658
0.020000,0.002641,4.974999,0.002663,0.032508,0.282107,1.343644,6.282486
0.020000,0.003414,4.974998,0.003437,0.038688,0.308983,1.343771,6.282282
0.020000,0.004322,4.974998,0.004345,0.045405,0.335861,1.343902,6.282041
0.020000,0.005376,4.974996,0.005398,0.052660,0.362742,1.344080,6.281762
0.020000,0.006585,4.974994,0.006608,0.060452,0.389628,1.344280,6.281442
0.020000,0.007960,4.974992,0.007983,0.068783,0.416518,1.344493,6.281078
0.020000,0.009513,4.974988,0.009536,0.077651,0.443413,1.344760,6.280667
0.020000,0.011255,4.974983,0.011277,0.087057,0.470313,1.345012,6.280206
0.020000,0.013195,4.974977,0.013217,0.097002,0.497220,1.345348,6.279692
0.020000,0.015344,4.974969,0.015367,0.107484,0.524133,1.345656,6.279123
0.020000,0.017714,4.974958,0.017737,0.118505,0.551053,1.346002,6.278495
0.020000,0.020316,4.974945,0.020338,0.130065,0.577981,1.346400,6.277806
0.020000,0.023159,4.974929,0.023182,0.142163,0.604917,1.346794,6.277053
0.020000,0.026255,4.974909,0.026278,0.154801,0.631861,1.347182,6.276232
0.020000,0.029614,4.974884,0.029637,0.167977,0.658814,1.347631,6.275342
0.020000,0.033248,4.974854,0.033271,0.181692,0.685774,1.348036,6.274379
0.020000,0.037161,4.974817,0.037185,0.195678,0.699304,0.676504,6.273342
0.020000,0.041354,4.974774,0.041378,0.209666,0.699399,0.004712,6.272230
0.020000,0.045827,4.974722,0.045851,0.223656,0.699496,0.004849,6.271044
0.020000,0.050580,4.974661,0.050604,0.237648,0.699592,0.004841,6.269784
0.020000,0.055612,4.974590,0.055637,0.251642,0.699690,0.004855,6.268449
0.020000,0.060924,4.974508,0.060950,0.265638,0.699785,0.004784,6.267040
0.020000,0.066516,4.974414,0.066542,0.279635,0.699878,0.004628,6.265556
0.020000,0.072388,4.974306,0.072415,0.293635,0.699966,0.004429,6.263998
0.020000,0.078539,4.974183,0.078568,0.307636,0.700050,0.004176,6.262365
0.020000,0.084971,4.974043,0.085001,0.321638,0.700126,0.003788,6.260657
0.020000,0.091682,4.973886,0.091713,0.335642,0.700193,0.003387,6.258875
0.020000,0.098672,4.973710,0.098706,0.349647,0.700251,0.002860,6.257018
0.020000,0.105943,4.973512,0.105979,0.363653,0.700296,0.002282,6.255086
0.020000,0.113493,4.973293,0.113533,0.377659,0.700328,0.001575,6.253080
0.020000,0.121322,4.973049,0.121366,0.391666,0.700343,0.000783,6.250999
0.020000,0.129431,4.972779,0.129479,0.405673,0.700342,-0.000076,6.248844
0.020000,0.137819,4.972481,0.137873,0.419679,0.700320,-0.001076,6.246613
0.020000,0.146487,4.972154,0.146547,0.433685,0.700277,-0.002174,6.244308
0.020000,0.155434,4.971795,0.155500,0.447689,0.700209,-0.003368,6.241928
0.020000,0.164659,4.971403,0.164734,0.461692,0.700116,-0.004687,6.239474
0.020000,0.174163,4.970976,0.174248,0.475691,0.699993,-0.006143,6.236945
0.020000,0.183946,4.970510,0.184042,0.489688,0.699839,-0.007698,6.234342
0.020000,0.194007,4.970005,0.194115,0.503681,0.699651,-0.009389,6.231664
0.020000,0.204346,4.969457,0.204469,0.517670,0.699427,-0.011209,6.228912
0.020000,0.214962,4.968866,0.215102,0.531653,0.699163,-0.013179,6.226086
0.020000,0.225856,4.968227,0.226015,0.545630,0.698858,-0.015265,6.223185
0.020000,0.237027,4.967539,0.237207,0.559600,0.698508,-0.017520,6.220211
0.020000,0.248475,4.966800,0.248678,0.573563,0.698110,-0.019893,6.217163
0.020000,0.260198,4.966006,0.260428,0.587516,0.697661,-0.022439,6.214041
0.020000,0.272197,4.965156,0.272457,0.601459,0.697158,-0.025136,6.210846
0.020000,0.284471,4.964246,0.284765,0.615391,0.696599,-0.027979,6.207577
0.020000,0.297020,4.963275,0.297351,0.629310,0.695979,-0.030977,6.204236
0.020000,0.309843,4.962238,0.310216,0.643216,0.695296,-0.034153,6.200822
0.020000,0.322938,4.961134,0.323358,0.657107,0.694546,-0.037489,6.197336
0.020000,0.336306,4.959960,0.336777,0.670982,0.693727,-0.040982,6.193777
0.020000,0.349946,4.958712,0.350474,0.684839,0.692834,-0.044651,6.190148
0.020000,0.363857,4.957388,0.364448,0.698676,0.691864,-0.048473,6.186447
0.020000,0.378037,4.955985,0.378698,0.712492,0.690814,-0.052500,6.182675
0.020000,0.392487,4.954500,0.393223,0.726286,0.689681,-0.056664,6.178832
0.020000,0.407205,4.952929,0.408024,0.740055,0.688461,-0.061009,6.174920
0.020000,0.422189,4.951270,0.423100,0.753798,0.687150,-0.065528,6.170939
0.020000,0.437439,4.949520,0.438451,0.767513,0.685746,-0.070224,6.166889
0.020000,0.452954,4.947675,0.454075,0.781198,0.684244,-0.075070,6.162771
0.020000,0.468732,4.945733,0.469972,0.794851,0.682643,-0.080088,6.158585
0.020000,0.484771,4.943689,0.486141,0.808469,0.680937,-0.085291,6.154333
0.020000,0.501071,4.941541,0.502582,0.822052,0.679124,-0.090632,6.150015
0.020000,0.517631,4.939286,0.519294,0.835596,0.677201,-0.096139,6.145631
0.020000,0.534447,4.936920,0.536276,0.849099,0.675165,-0.101799,6.141183
0.020000,0.551519,4.934440,0.553527,0.862559,0.673013,-0.107609,6.136672
0.020000,0.568845,4.931843,0.571047,0.875974,0.670742,-0.113561,6.132098
0.020000,0.586423,4.929125,0.588833,0.889341,0.668349,-0.119651,6.127462
0.020000,0.604251,4.926283,0.606887,0.902658,0.665832,-0.125871,6.122766
0.020000,0.622327,4.923314,0.625205,0.915922,0.663187,-0.132213,6.118010
0.020000,0.640649,4.920214,0.643788,0.929130,0.660414,-0.138670,6.113196
0.020000,0.659215,4.916981,0.662633,0.942280,0.657509,-0.145231,6.108325
0.020000,0.678023,4.913610,0.681741,0.955369,0.654471,-0.151887,6.103398
0.020000,0.697070,4.910100,0.701108,0.968395,0.651299,-0.158625,6.098417
0.020000,0.716354,4.906445,0.720736,0.981355,0.647990,-0.165449,6.093382
0.020000,0.735872,4.902644,0.740620,0.994246,0.644544,-0.172322,6.088296
0.020000,0.755622,4.898692,0.760762,1.007065,0.640959,-0.179247,6.083159
0.020000,0.775601,4.894588,0.781158,1.019810,0.637235,-0.186200,6.077973
0.020000,0.795806,4.890327,0.801808,1.032477,0.633371,-0.193203,6.072740
0.020000,0.816235,4.885907,0.822709,1.045065,0.629367,-0.200179,6.067461
0.020000,0.836884,4.881325,0.843860,1.057569,0.625224,-0.207173,6.062139
0.020000,0.857750,4.876577,0.865260,1.069988,0.620941,-0.214132,6.056774
0.020000,0.878831,4.871660,0.886906,1.082318,0.616520,-0.221065,6.051370
0.020000,0.900123,4.866573,0.908797,1.094558,0.611961,-0.227925,6.045926
0.020000,0.921623,4.861312,0.930932,1.106703,0.607266,-0.234744,6.040446
0.020000,0.943327,4.855874,0.953307,1.118752,0.602437,-0.241453,6.034932
0.020000,0.965232,4.850256,0.975921,1.130701,0.597476,-0.248069,6.029385
0.020000,0.987335,4.844457,0.998772,1.142549,0.592384,-0.254564,6.023808
0.020000,1.009632,4.838473,1.021857,1.154292,0.587166,-0.260931,6.018202
0.020000,1.032119,4.832303,1.045176,1.165929,0.581823,-0.267139,6.012571
0.020000,1.054793,4.825944,1.068725,1.177456,0.576359,-0.273182,6.006915
0.020000,1.077650,4.819393,1.092503,1.188871,0.570779,-0.279043,6.001238
0.020000,1.100687,4.812649,1.116506,1.200173,0.565084,-0.284706,5.995542
0.020000,1.123899,4.805709,1.140733,1.211359,0.559281,-0.290156,5.989829
0.020000,1.147283,4.798573,1.165182,1.222426,0.553374,-0.295380,5.984101
0.020000,1.170834,4.791237,1.189849,1.233374,0.547366,-0.300364,5.978362
0.020000,1.194549,4.783700,1.214733,1.244199,0.541264,-0.305096,5.972613
0.020000,1.218425,4.775961,1.239831,1.254900,0.535073,-0.309564,5.966857
0.020000,1.242455,4.768019,1.265141,1.265476,0.528798,-0.313759,5.961097
0.020000,1.266638,4.759871,1.290659,1.275925,0.522445,-0.317669,5.955335
0.020000,1.290969,4.751517,1.316384,1.286246,0.516019,-0.321288,5.949574
0.020000,1.315444,4.742956,1.342313,1.296436,0.509527,-0.324608,5.943817
0.020000,1.340058,4.734187,1.368443,1.306496,0.502974,-0.327623,5.938066
0.020000,1.364808,4.725208,1.394771,1.316423,0.496368,-0.330328,5.932323
0.020000,1.389691,4.716020,1.421296,1.326217,0.489713,-0.332721,5.926593
0.020000,1.414701,4.706622,1.448013,1.335878,0.483017,-0.334799,5.920877
0.020000,1.439834,4.697013,1.474921,1.345403,0.476286,-0.336565,5.915178
0.020000,1.465088,4.687193,1.502017,1.354794,0.469526,-0.338014,5.909500
0.020000,1.490458,4.677162,1.529298,1.364049,0.462743,-0.339156,5.903844
0.020000,1.515940,4.666921,1.556761,1.373167,0.455943,-0.339989,5.898213
0.020000,1.541531,4.656468,1.584404,1.382150,0.449132,-0.340521,5.892611
0.020000,1.567226,4.645804,1.612224,1.390996,0.442317,-0.340759,5.887040
0.020000,1.593022,4.634931,1.640218,1.399707,0.435503,-0.340712,5.881503
0.020000,1.618915,4.623848,1.668384,1.408280,0.428695,-0.340387,5.876003
0.020000,1.644902,4.612555,1.696718,1.416718,0.421899,-0.339799,5.870542
0.020000,1.670979,4.601055,1.725219,1.425021,0.415120,-0.338955,5.865124
0.020000,1.697143,4.589347,1.753883,1.433188,0.408363,-0.337874,5.859751
0.020000,1.723390,4.577433,1.782707,1.441221,0.401631,-0.336564,5.854425
0.020000,1.749717,4.565315,1.811689,1.449119,0.394930,-0.335051,5.849150
0.020000,1.776121,4.552992,1.840827,1.456885,0.388264,-0.333338,5.843929
0.020000,1.802598,4.540467,1.870117,1.464517,0.381635,-0.331455,5.838763
0.020000,1.829146,4.527742,1.899558,1.472018,0.375046,-0.329410,5.833656
0.020000,1.855762,4.514817,1.929146,1.479388,0.368502,-0.327232,5.828611
0.020000,1.882443,4.501696,1.958878,1.486628,0.362003,-0.324931,5.823630
0.020000,1.909185,4.488379,1.988753,1.493739,0.355552,-0.322535,5.818715
0.020000,1.935987,4.474868,2.018767,1.500722,0.349151,-0.320058,5.813870
0.020000,1.962846,4.461167,2.048919,1.507578,0.342801,-0.317527,5.809097
0.020000,1.989759,4.447277,2.079205,1.514308,0.336501,-0.314959,5.804399
0.020000,2.016724,4.433201,2.109623,1.520913,0.330254,-0.312379,5.799777
0.020000,2.043740,4.418941,2.140171,1.527395,0.324058,-0.309801,5.795235
0.020000,2.070802,4.404499,2.170846,1.533753,0.317913,-0.307260,5.790776
0.020000,2.097911,4.389879,2.201646,1.539989,0.311817,-0.304765,5.786401
0.020000,2.125063,4.375083,2.232568,1.546105,0.305771,-0.302340,5.782113
0.020000,2.152258,4.360114,2.263610,1.552100,0.299770,-0.300015,5.777915
0.020000,2.179493,4.344975,2.294770,1.557976,0.293814,-0.297800,5.773809
0.020000,2.206766,4.329670,2.326044,1.563734,0.287900,-0.295721,5.769798
0.020000,2.234077,4.314201,2.357432,1.569375,0.282024,-0.293799,5.765883
0.020000,2.261424,4.298571,2.388930,1.574898,0.276183,-0.292052,5.762068
0.020000,2.288805,4.282785,2.420536,1.580306,0.270373,-0.290499,5.758354
0.020000,2.316220,4.266846,2.452248,1.585598,0.264590,-0.289165,5.754745
0.020000,2.343668,4.250756,2.484063,1.590774,0.258828,-0.288059,5.751242
0.020000,2.371143,4.234523,2.515976,1.595614,0.241988,-0.842028,5.747848
0.020000,2.398637,4.218155,2.547974,1.599900,0.214292,-1.384811,5.744566
0.020000,2.426143,4.201659,2.580046,1.603639,0.186970,-1.366100,5.741401
0.020000,2.453652,4.185045,2.612183,1.606840,0.160018,-1.347594,5.738353
0.020000,2.481157,4.168321,2.644373,1.609508,0.133432,-1.329311,5.735426
0.020000,2.508650,4.151496,2.676606,1.611652,0.107206,-1.311289,5.732624
0.020000,2.536125,4.134579,2.708872,1.613279,0.081335,-1.293539,5.729947
0.020000,2.563574,4.117578,2.741160,1.614395,0.055813,-1.276084,5.727398
0.020000,2.590992,4.100502,2.773460,1.615008,0.030635,-1.258935,5.724981
0.020000,2.618372,4.083361,2.805763,1.615124,0.005793,-1.242101,5.722695
0.020000,2.645707,4.066164,2.838058,1.614750,-0.018719,-1.225585,5.720545
0.020000,2.672991,4.048918,2.870335,1.613891,-0.042907,-1.209394,5.718530
0.020000,2.700220,4.031634,2.902587,1.612556,-0.066777,-1.193517,5.716653
0.020000,2.727386,4.014320,2.934802,1.610749,-0.090336,-1.177957,5.714915
0.020000,2.754486,3.996985,2.966971,1.608477,-0.113590,-1.162698,5.713318
0.020000,2.781513,3.979638,2.999086,1.605746,-0.136545,-1.147734,5.711863
0.020000,2.808463,3.962289,3.031137,1.602562,-0.159206,-1.133044,5.710551
0.020000,2.835329,3.944945,3.063116,1.598931,-0.181578,-1.118617,5.709383
0.020000,2.862109,3.927617,3.095013,1.594857,-0.203667,-1.104430,5.708360
0.020000,2.888796,3.910311,3.126820,1.590348,-0.225476,-1.090461,5.707482
0.020000,2.915387,3.893039,3.158528,1.585408,-0.247010,-1.076688,5.706751
0.020000,2.941876,3.875807,3.190129,1.580042,-0.268272,-1.063086,5.706167
0.020000,2.968260,3.858625,3.221614,1.574257,-0.289264,-1.049628,5.705730
0.020000,2.994533,3.841501,3.252975,1.568057,-0.309990,-1.036286,5.705440
0.020000,3.020692,3.824443,3.284204,1.561448,-0.330451,-1.023032,5.705299
0.020000,3.046732,3.807461,3.315293,1.554418,-0.351518,-1.053375,5.705305
0.020000,3.072649,3.790562,3.346232,1.546972,-0.372306,-1.039398,5.705459
0.020000,3.098438,3.773755,3.377015,1.539133,-0.391952,-0.982285,5.705762
0.020000,3.124096,3.757047,3.407633,1.530906,-0.411333,-0.969085,5.706211
0.020000,3.149618,3.740446,3.438079,1.522297,-0.430450,-0.955824,5.706808
0.020000,3.175000,3.723960,3.468345,1.513311,-0.449299,-0.942473,5.707552
0.020000,3.200239,3.707597,3.498424,1.503953,-0.467879,-0.929003,5.708442
0.020000,3.225330,3.691364,3.528309,1.494230,-0.486187,-0.915387,5.709478
0.020000,3.250270,3.675268,3.557991,1.484145,-0.504219,-0.901598,5.710658
0.020000,3.275054,3.659316,3.587466,1.473706,-0.521971,-0.887611,5.711982
0.020000,3.299679,3.643516,3.616724,1.462917,-0.539439,-0.873404,5.713450
0.020000,3.324141,3.627873,3.645760,1.451785,-0.556618,-0.858953,5.715059
0.020000,3.348436,3.612395,3.674566,1.440315,-0.573503,-0.844242,5.716808
0.020000,3.372559,3.597087,3.703136,1.428513,-0.590088,-0.829251,5.718697
0.020000,3.396507,3.581956,3.731464,1.416385,-0.606368,-0.813966,5.720723
0.020000,3.420276,3.567008,3.759543,1.403939,-0.622335,-0.798379,5.722886
