dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000019,3.025000,0.000004,0.000399,0.019933,0.996631,0.000019
0.020000,0.000013,3.025000,0.000010,0.000277,-0.006067,-1.300003,0.000014
0.020000,0.000001,3.025000,0.000022,0.000624,0.017331,1.169943,0.000001
0.020000,0.000040,3.025000,0.000061,0.001971,0.067332,2.500030,6.283163
0.020000,0.000105,3.025000,0.000126,0.003250,0.063971,-0.168039,6.283128
0.020000,0.000199,3.025000,0.000220,0.004680,0.071499,0.376369,6.283077
0.020000,0.000326,3.025000,0.000347,0.006370,0.084497,0.649922,6.283007
0.020000,0.000493,3.025000,0.000514,0.008320,0.097494,0.649866,6.282916
0.020000,0.000703,3.025000,0.000724,0.010530,0.110491,0.649821,6.282801
0.020000,0.000963,3.025000,0.000984,0.012999,0.123485,0.649712,6.282658
0.020000,0.001278,3.025000,0.001299,0.015729,0.136478,0.649626,6.282486
0.020000,0.001652,3.024999,0.001673,0.018718,0.149468,0.649504,6.282282
0.020000,0.002091,3.024999,0.002113,0.021967,0.162455,0.649350,6.282041
0.020000,0.002601,3.024998,0.002622,0.025476,0.175438,0.649183,6.281762
0.020000,0.003186,3.024997,0.003207,0.029244,0.188418,0.648988,6.281442
0.020000,0.003851,3.024996,0.003873,0.033272,0.201393,0.648759,6.281078
0.020000,0.004602,3.024994,0.004624,0.037560,0.214364,0.648517,6.280667
0.020000,0.005445,3.024992,0.005466,0.042106,0.227328,0.648228,6.280206
0.020000,0.006383,3.024989,0.006404,0.046912,0.240287,0.647939,6.279692
0.020000,0.007422,3.024985,0.007444,0.051977,0.253239,0.647599,6.279123
0.020000,0.008568,3.024980,0.008590,0.057300,0.266184,0.647241,6.278495
0.020000,0.009826,3.024974,0.009847,0.062883,0.279121,0.646875,6.277806
0.020000,0.011200,3.024966,0.011222,0.068724,0.292051,0.646478,6.277053
0.020000,0.012697,3.024956,0.012718,0.074823,0.304972,0.646056,6.276232
0.020000,0.014320,3.024944,0.014342,0.081181,0.317885,0.645647,6.275342
0.020000,0.016076,3.024929,0.016098,0.087797,0.330789,0.645208,6.274379
0.020000,0.017967,3.024912,0.017989,0.094541,0.337192,0.320155,6.273342
0.020000,0.019993,3.024891,0.020014,0.101282,0.337097,-0.004744,6.272230
