Delta Time, Position, Velocity, 
20, 0.000118, 0.011765, 
20, 0.000588, 0.023529, 
20, 0.001647, 0.052941, 
20, 0.003529, 0.094118, 
20, 0.006471, 0.147059, 
20, 0.010706, 0.211765, 
20, 0.016471, 0.288235, 
20, 0.024000, 0.376471, 
20, 0.033529, 0.476471, 
20, 0.045294, 0.588235, 
20, 0.059529, 0.711765, 
20, 0.076471, 0.847059, 
20, 0.096353, 0.994118, 
20, 0.119412, 1.152941, 
20, 0.145882, 1.323529, 
20, 0.176000, 1.505882, 
20, 0.210000, 1.700000, 
20, 0.248000, 1.900000, 
20, 0.290000, 2.100000, 
20, 0.336000, 2.300000, 
20, 0.385882, 2.494118, 
20, 0.439412, 2.676471, 
20, 0.496353, 2.847059, 
20, 0.556471, 3.005882, 
20, 0.619529, 3.152941, 
20, 0.685294, 3.288235, 
20, 0.753529, 3.411765, 
20, 0.824000, 3.523529, 
20, 0.896471, 3.623529, 
20, 0.970706, 3.711765, 
20, 1.046471, 3.788235, 
20, 1.123529, 3.852941, 
20, 1.201647, 3.905882, 
20, 1.280588, 3.947059, 
20, 1.360118, 3.976471, 
20, 1.440000, 3.994118, 
20, 1.520000, 4.000000, 
20, 1.600000, 4.000000, 
20, 1.680000, 4.000000, 
20, 1.760000, 4.000000, 
20, 1.840000, 4.000000, 
20, 1.920000, 4.000000, 
20, 2.000000, 4.000000, 
20, 2.080000, 4.000000, 
20, 2.160000, 4.000000, 
20, 2.240000, 4.000000, 
20, 2.320000, 4.000000, 
20, 2.400000, 4.000000, 
20, 2.480000, 4.000000, 
20, 2.560000, 4.000000, 
20, 2.640000, 4.000000, 
20, 2.720000, 4.000000, 
20, 2.800000, 4.000000, 
20, 2.880000, 4.000000, 
20, 2.960000, 4.000000, 
20, 3.040000, 4.000000, 
20, 3.120000, 4.000000, 
20, 3.200000, 4.000000, 
20, 3.280000, 4.000000, 
20, 3.360000, 4.000000, 
20, 3.440000, 4.000000, 
20, 3.520000, 4.000000, 
20, 3.600000, 4.000000, 
20, 3.680000, 4.000000, 
20, 3.760000, 4.000000, 
20, 3.840000, 4.000000, 
20, 3.920000, 4.000000, 
20, 4.000000, 4.000000, 
20, 4.080000, 4.000000, 
20, 4.160000, 4.000000, 
20, 4.240000, 4.000000, 
20, 4.320000, 4.000000, 
20, 4.400000, 4.000000, 
20, 4.480000, 4.000000, 
20, 4.560000, 4.000000, 
20, 4.640000, 4.000000, 
20, 4.720000, 4.000000, 
20, 4.800000, 4.000000, 
20, 4.880000, 4.000000, 
20, 4.960000, 4.000000, 
20, 5.040000, 4.000000, 
20, 5.120000, 4.000000, 
20, 5.200000, 4.000000, 
20, 5.280000, 4.000000, 
20, 5.360000, 4.000000, 
20, 5.440000, 4.000000, 
20, 5.520000, 4.000000, 
20, 5.600000, 4.000000, 
20, 5.680000, 4.000000, 
20, 5.760000, 4.000000, 
20, 5.840000, 4.000000, 
20, 5.920000, 4.000000, 
20, 6.000000, 4.000000, 
20, 6.080000, 4.000000, 
20, 6.160000, 4.000000, 
20, 6.240000, 4.000000, 
20, 6.320000, 4.000000, 
20, 6.400000, 4.000000, 
20, 6.480000, 4.000000, 
20, 6.560000, 4.000000, 
20, 6.640000, 4.000000, 
20, 6.720000, 4.000000, 
20, 6.800000, 4.000000, 
20, 6.880000, 4.000000, 
20, 6.960000, 4.000000, 
20, 7.040000, 4.000000, 
20, 7.120000, 4.000000, 
20, 7.200000, 4.000000, 
20, 7.280000, 4.000000, 
20, 7.360000, 4.000000, 
20, 7.440000, 4.000000, 
20, 7.520000, 4.000000, 
20, 7.600000, 4.000000, 
20, 7.680000, 4.000000, 
20, 7.760000, 4.000000, 
20, 7.840000, 4.000000, 
20, 7.920000, 4.000000, 
20, 8.000000, 4.000000, 
20, 8.080000, 4.000000, 
20, 8.160000, 4.000000, 
20, 8.240000, 4.000000, 
20, 8.320000, 4.000000, 
20, 8.400000, 4.000000, 
20, 8.480000, 4.000000, 
20, 8.560000, 4.000000, 
20, 8.639883, 3.994125, 
20, 8.719412, 3.976493, 
20, 8.798354, 3.947096, 
20, 8.876473, 3.905934, 
20, 8.953533, 3.853007, 
20, 9.029299, 3.788316, 
20, 9.103537, 3.711860, 
20, 9.176009, 3.623640, 
20, 9.246483, 3.523654, 
20, 9.314721, 3.411904, 
20, 9.380488, 3.288390, 
20, 9.443551, 3.153110, 
20, 9.503672, 3.006066, 
20, 9.560617, 2.847257, 
20, 9.614151, 2.676684, 
20, 9.664038, 2.494346, 
20, 9.710043, 2.300243, 
20, 9.752048, 2.100250, 
20, 9.790053, 1.900250, 
20, 9.824058, 1.700250, 
20, 9.854180, 1.506125, 
20, 9.880655, 1.323757, 
20, 9.903718, 1.153154, 
20, 9.923605, 0.994316, 
20, 9.940549, 0.847243, 
20, 9.954788, 0.711934, 
20, 9.966556, 0.588390, 
20, 9.976088, 0.476610, 
20, 9.983620, 0.376596, 
20, 9.989387, 0.288346, 
20, 9.993624, 0.211860, 
20, 9.996567, 0.147140, 
20, 9.998451, 0.094184, 
20, 9.999510, 0.052993, 
20, 9.999982, 0.023566, 
20, 10.000100, 0.005904, 
20, 10.000100, 0.000007, 
20, 10.000100, 0.000000, 
