Delta Time, Position, Velocity, 
20, 0.000118, 0.011765, 
20, 0.000659, 0.027077, 
20, 0.001919, 0.062990, 
20, 0.004159, 0.111987, 
20, 0.007659, 0.174994, 
20, 0.012699, 0.252020, 
20, 0.019561, 0.343083, 
20, 0.028525, 0.448204, 
20, 0.039873, 0.567414, 
20, 0.053888, 0.700749, 
20, 0.070853, 0.848256, 
20, 0.091053, 1.009992, 
20, 0.114773, 1.186020, 
20, 0.142302, 1.376416, 
20, 0.173927, 1.581265, 
20, 0.209940, 1.800661, 
20, 0.250634, 2.034704, 
20, 0.296163, 2.276447, 
20, 0.346541, 2.518907, 
20, 0.401784, 2.762114, 
20, 0.461764, 2.999006, 
20, 0.526213, 3.222451, 
20, 0.594860, 3.432343, 
20, 0.667431, 3.628549, 
20, 0.743649, 3.810916, 
20, 0.823234, 3.979269, 
20, 0.905903, 4.133421, 
20, 0.991366, 4.273175, 
20, 1.079333, 4.398331, 
20, 1.169507, 4.508692, 
20, 1.261588, 4.604075, 
20, 1.355274, 4.684311, 
20, 1.450260, 4.749256, 
20, 1.546236, 4.798801, 
20, 1.642893, 4.832869, 
20, 1.739921, 4.851425, 
20, 1.837011, 4.854477, 
20, 1.933995, 4.849204, 
20, 2.030851, 4.842775, 
20, 2.127555, 4.835221, 
20, 2.224087, 4.826580, 
20, 2.320425, 4.816897, 
20, 2.416549, 4.806222, 
20, 2.512441, 4.794612, 
20, 2.608084, 4.782127, 
20, 2.703460, 4.768829, 
20, 2.798556, 4.754786, 
20, 2.893357, 4.740062, 
20, 2.987852, 4.724726, 
20, 3.082029, 4.708846, 
20, 3.175878, 4.692486, 
20, 3.269393, 4.675712, 
20, 3.362564, 4.658586, 
20, 3.455388, 4.641167, 
20, 3.547858, 4.623511, 
20, 3.639971, 4.605672, 
20, 3.731725, 4.587699, 
20, 3.823118, 4.569637, 
20, 3.914149, 4.551528, 
20, 4.004817, 4.533410, 
20, 4.095123, 4.515317, 
20, 4.185069, 4.497279, 
20, 4.274655, 4.479323, 
20, 4.363885, 4.461473, 
20, 4.452760, 4.443749, 
20, 4.541283, 4.426167, 
20, 4.629458, 4.408742, 
20, 4.717288, 4.391485, 
20, 4.804776, 4.374404, 
20, 4.891926, 4.357507, 
20, 4.978742, 4.340798, 
20, 5.065227, 4.324279, 
20, 5.151386, 4.307951, 
20, 5.237223, 4.291813, 
20, 5.322740, 4.275863, 
20, 5.407942, 4.260097, 
20, 5.492832, 4.244510, 
20, 5.577414, 4.229098, 
20, 5.661691, 4.213852, 
20, 5.745666, 4.198766, 
20, 5.829343, 4.183831, 
20, 5.912724, 4.169039, 
20, 5.995811, 4.154380, 
20, 6.078608, 4.139845, 
20, 6.161117, 4.125423, 
20, 6.243339, 4.111104, 
20, 6.325276, 4.096876, 
20, 6.406931, 4.082730, 
20, 6.488304, 4.068652, 
20, 6.569397, 4.054633, 
20, 6.650210, 4.040660, 
20, 6.730744, 4.026722, 
20, 6.811000, 4.012806, 
20, 6.890978, 3.998902, 
20, 6.970678, 3.984996, 
20, 7.050100, 3.971078, 
20, 7.129243, 3.957135, 
20, 7.208106, 3.943155, 
20, 7.286688, 3.929127, 
20, 7.364989, 3.915039, 
20, 7.443007, 3.900880, 
20, 7.520739, 3.886639, 
20, 7.598186, 3.872304, 
20, 7.675343, 3.857864, 
20, 7.752209, 3.843309, 
20, 7.828782, 3.828629, 
20, 7.905058, 3.813814, 
20, 7.981035, 3.798856, 
20, 8.056710, 3.783744, 
20, 8.132079, 3.768471, 
20, 8.207140, 3.753030, 
20, 8.281888, 3.737415, 
20, 8.356321, 3.721619, 
20, 8.430433, 3.705638, 
20, 8.504223, 3.689469, 
20, 8.577685, 3.673109, 
20, 8.650816, 3.656558, 
20, 8.723612, 3.639817, 
20, 8.796070, 3.622889, 
20, 8.868186, 3.605779, 
20, 8.939956, 3.588492, 
20, 9.011376, 3.571040, 
20, 9.082445, 3.553432, 
20, 9.153159, 3.535684, 
20, 9.223515, 3.517814, 
20, 9.293512, 3.499841, 
20, 9.363148, 3.481791, 
20, 9.432421, 3.463689, 
20, 9.501333, 3.445567, 
20, 9.569882, 3.427460, 
20, 9.638070, 3.409406, 
20, 9.705899, 3.391448, 
20, 9.773372, 3.373631, 
20, 9.840492, 3.356006, 
20, 9.907264, 3.338626, 
20, 9.973695, 3.321548, 
20, 10.039792, 3.304832, 
20, 10.105563, 3.288541, 
20, 10.171017, 3.272739, 
20, 10.236167, 3.257492, 
20, 10.301025, 3.242869, 
20, 10.365603, 3.228935, 
20, 10.429919, 3.215759, 
20, 10.493987, 3.203405, 
20, 10.557825, 3.191936, 
20, 10.621454, 3.181412, 
20, 10.684891, 3.171888, 
20, 10.748160, 3.163414, 
20, 10.811280, 3.156034, 
20, 10.874276, 3.149784, 
20, 10.937155, 3.143957, 
20, 10.999834, 3.133959, 
20, 11.062153, 3.115941, 
20, 11.123951, 3.089903, 
20, 11.185067, 3.055803, 
20, 11.245338, 3.013560, 
20, 11.304600, 2.963058, 
20, 11.362683, 2.904147, 
20, 11.419416, 2.836659, 
20, 11.474624, 2.760405, 
20, 11.528128, 2.675188, 
20, 11.579744, 2.580808, 
20, 11.629285, 2.477069, 
20, 11.676561, 2.363786, 
20, 11.721377, 2.240787, 
20, 11.763535, 2.107921, 
20, 11.802836, 1.965061, 
20, 11.839093, 1.812854, 
20, 11.872212, 1.655947, 
20, 11.902178, 1.498295, 
20, 11.928992, 1.340688, 
20, 11.952750, 1.187913, 
20, 11.973631, 1.044036, 
20, 11.991814, 0.909156, 
20, 12.007481, 0.783367, 
20, 12.020816, 0.666750, 
20, 12.032004, 0.559381, 
20, 12.041230, 0.461322, 
20, 12.048683, 0.372629, 
20, 12.054550, 0.293345, 
